"","990
074","1","***","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"","990
203","1","***","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"","990
205","2","***","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"Research","Course Total","7","4.000","28.6",".",".","",".","",".","",".","",".","71.4","",".",".","",".","",".","",".",".",".","."
"PEDIAT
708","Dept. Total","159","3.676","66.0","10.7","15.7","",".","",".","",".","",".","6.9","",".",".","",".","",".","",".",".","0.6","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","4","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","18","3.978","88.9","5.6",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","5.6","."
"Senior","","18","3.976","94.4","5.6",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","40","3.979","92.5","5.0",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","2.5","."
"Graduate","","50","3.951","72.0","2.0","4.0","",".","",".","",".","",".","22.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","1","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 3","","40","3.438","35.0","17.5","47.5","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","28","3.708","64.3","21.4","14.3","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","69","3.524","46.4","20.3","33.3","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","159","3.676","66.0","10.7","15.7","",".","",".","",".","",".","6.9","",".",".","",".","",".","",".",".","0.6","."
