"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","",""
"LAW","","","","","","","","","","","","","","","","","","","","","",""
"LAW","College Total","2410","1.366","9.4","0.3","17.8","0.0","2.1","0.3","0.1","28.0","",".",".","",".","",".","0.2",".",".","1.0"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"LAW","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"Senior","","2","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Undergraduates","","2","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Special","","25","2.742","28.0","8.0","28.0","4.0",".",".",".","16.0","",".",".","",".","",".",".",".",".","."
"Graduate","","14","3.829","57.1","28.6",".",".",".",".",".","14.3","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","","785","1.283","10.3",".","26.2",".","2.7","0.9","0.3","0.6","",".",".","",".","",".","0.4",".",".","."
"Prof Yr 2","","469","1.299","6.8",".","14.9",".","1.9",".",".","39.7","",".",".","",".","",".","0.2",".",".","1.7"
"Prof Yr 3","","958","1.385","7.5",".","12.6",".","1.8",".","0.1","46.1","",".",".","",".","",".","0.2",".",".","1.6"
"Prof Yr 4","","157","1.540","15.3","1.3","15.3",".","1.9",".",".","22.3","",".",".","",".","",".",".",".",".","."
"Professionals","","2369","1.331","8.8","0.1","17.8",".","2.1","0.3","0.1","28.2","",".",".","",".","",".","0.3",".",".","1.0"
"","College Total","2410","1.366","9.4","0.3","17.8","0.0","2.1","0.3","0.1","28.0","",".",".","",".","",".","0.2",".",".","1.0"
