"","699
086","","1","***","","","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"","699
104","","10","4.000","100.0","",".",".",".","","",".","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"","699
106","","12","4.000","100.0","",".",".",".","","",".","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"NEURODPT 699","Course Total","","49","3.974","98.0","",".","2.0","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"NEURODPT
681","Dept. Total","","49","3.974","98.0","",".","2.0","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"681
NEURODPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","1","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","","3","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","","21","4.000","100.0","",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","24","3.952","95.8","",".","4.2","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","49","3.974","98.0","",".","2.0","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","49","3.974","98.0","",".","2.0","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
