"INTERNATIONAL STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","",""
"101
Intro to International Studies","001","","109","3.243","22.9","41.3","17.4","9.2","5.5","1.8","1.8",".",".",".",".",".",".",".",".","."
"212
WIScholars:Wi Intntl Schlr Smr","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"310","001","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"310","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"310","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"310","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"310","011","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"310","015","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"310","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"310","019","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"310","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"310","027","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"310","028","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"310","030","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"310","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internl Learning Community Smr","Course Total","","68","",".",".",".",".",".",".",".",".",".","98.5",".",".",".",".","1.5","."
"317
The Politics of Human Rights","001","","51","3.314","27.5","33.3","23.5","13.7",".",".","2.0",".",".",".",".",".",".",".",".","."
"320","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"320","002","","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Issues-Intl St","Course Total","","37","3.983","94.6","5.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"373
Globalizatn, Poverty&Develpmnt","001","","19","3.789","63.2","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"401
Topics in Global Security","001","","22","3.182","13.6","27.3","45.5","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"402
Politics&Policy in Globl Econ","001","","48","3.117","14.6","27.1","33.3","16.7","4.2","2.1",".","2.1",".",".",".",".",".",".",".","."
"535
Women's Global Health","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"601
Topics in Global Security","001","","19","3.579","26.3","63.2","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"602
Politics&Policy in Global Econ","001","","13","3.538","38.5","38.5","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"603
Topics:Culture-Age of Globlztn","001","","16","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
