"BUS","","","","","","","","","","","","","","","","","","","","",""
"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","","",""
"","765
031","43","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","","",".",".",".","."
"","Section Total","80","3.813","82.5","11.3","2.5","1.3",".","1.3","1.3",".",".",".",".","",".","",".",".",".","."
"Contemporary Topics","Course Total","220","3.709","52.7","35.9","10.0","0.5",".","0.5","0.5",".",".",".",".","",".","",".",".",".","."
"GEN BUS
231","Dept. Total","2476","3.320","30.7","25.5","29.0","8.4","4.0","0.7","0.5","0.4","0.0","0.7","0.1","",".","",".",".","0.0","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","",".",".","",".","",".",".",".","."
"Sophomore","","143","3.103","11.2","23.8","47.6","10.5","4.2","0.7","0.7",".",".","1.4",".","",".","",".",".",".","."
"Junior","","972","3.333","31.8","25.8","28.2","8.1","4.7","0.7","0.4",".",".","0.2",".","",".","",".",".",".","."
"Senior","","1049","3.246","25.0","23.5","33.2","10.4","4.3","0.8","0.6","0.9","0.1","1.2","0.1","",".","",".",".",".","."
"Undergraduates","","2165","3.276","27.2","24.6","31.9","9.4","4.5","0.7","0.5","0.4","0.0","0.8","0.0","",".","",".",".",".","."
"Special","","14","2.893","21.4","14.3","28.6","21.4","7.1",".","7.1",".",".",".",".","",".","",".",".",".","."
"Graduate","","290","3.731","56.6","33.1","8.3","0.3",".","0.3","0.3",".",".","0.3","0.3","",".","",".",".","0.3","."
"Prof Yr 2","","4","***","","","","","","","","","",".",".","",".","",".",".",".","."
"Prof Yr 3","","2","***","","","","","","","","","",".",".","",".","",".",".",".","."
"Prof Yr 4","","1","***","","","","","","","","","",".",".","",".","",".",".",".","."
"Professionals","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"","Dept. Total","2476","3.320","30.7","25.5","29.0","8.4","4.0","0.7","0.5","0.4","0.0","0.7","0.1","",".","",".",".","0.0","."
