"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"MEDICINE","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","9","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","34","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","55","3.989","96.4","1.8",".",".","",".","",".","",".",".","",".",".","",".",".","1.8",".",".","."
"Undergraduates","99","3.994","98.0","1.0",".",".","",".","",".","",".",".","",".",".","",".",".","1.0",".",".","."
"Special","1","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","22","4.000","13.6",".",".",".","",".","",".","",".","59.1","",".",".","",".","22.7",".",".","4.5","."
"Prof Yr 1","15","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 2","9","3.722","44.4","44.4",".",".","",".","",".","",".","11.1","",".",".","",".",".",".",".",".","."
"Prof Yr 3","58","3.543","37.9","17.2","25.9","1.7","",".","",".","",".",".","",".",".","",".","1.7","10.3",".","3.4","1.7"
"Prof Yr 4","310","3.706","34.8","15.2","4.5","0.3","",".","",".","",".","43.5","",".",".","",".",".",".",".","1.3","0.3"
"Professionals","392","3.652","38.0","15.6","7.4","0.5","",".","",".","",".","34.7","",".",".","",".","0.3","1.5",".","1.5","0.5"
