"NUTRITIONAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"132","001","","231","2.978","22.1","17.7","21.6","15.2","21.2","2.2",".",".",".",".",".",".",".",".",".","."
"132","002","","280","2.862","15.4","17.9","27.1","13.2","20.0","5.7",".","0.4",".",".",".",".","0.4",".",".","."
"132","003","","135","2.900","18.5","18.5","24.4","14.8","19.3","2.2","2.2",".",".",".",".",".",".",".",".","."
"Nutrition Today","Course Total","","646","2.911","18.4","18.0","24.6","14.2","20.3","3.7","0.5","0.2",".",".",".",".","0.2",".",".","."
"200
Prof-Dietetics & Nutrition","001","","30","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"203
Introduction to Global Health","001","","64","3.867","78.1","17.2","4.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","069","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","36","3.976","97.2","2.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"311
Comparative Animal Nutritn","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"332
Human Nutritional Needs","001","","118","3.013","28.8","7.6","33.1","6.8","19.5","4.2",".",".",".",".",".",".",".",".",".","."
"350
World Hunger & Malnutrition","001","","98","3.332","30.6","30.6","20.4","13.3","4.1","1.0",".",".",".",".",".",".",".",".",".","."
"431
Nutrition in the Life Span","001","","84","3.161","23.8","25.0","32.1","4.8","10.7","3.6",".",".",".",".",".",".",".",".",".","."
"500
Undergrad Capstone Seminar Lab","001","","56","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"510
Biochm Prin-Human&Anml Nutr","001","","46","3.174","43.5","13.0","19.6","4.3","10.9","6.5","2.2",".",".",".",".",".",".",".",".","."
"520
Applications-Clin Nutrition","001","","46","3.641","50.0","32.6","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"525
Nutrition, Fitness and Health","001","","8","3.429","37.5",".","50.0",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"619
Adv Nutr: Metab-Macronutrients","001","","10","3.278","10.0","30.0","50.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"621
Intro-Nutritnl Epidemiology","001","","14","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"653
Clinical Nutrition Research","001","","20","3.775","75.0","15.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"671
Nutr & Dietetics Practicum II","001","","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"672
Herbl, Homeopthy&Diet Supplmnt","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"692
Senior Thesis","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","17","3.864","82.4","5.9","5.9",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"799","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","065","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Nutri Sciences Tchg","Course Total","","3","***","","","","","","","","","","","","","","","",""
"875
Special Topics","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"881
Smr-Human&Clinicl Nutrition","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"931
Seminar-Nutrition","001","","23","4.000","8.7",".",".",".",".",".",".","91.3",".",".",".",".",".",".",".","."
"991","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","","","Page 40 of 435"
