"DESIGN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","",""
"Design: Fundamentals I","120
001","61","3.287","27.9","26.2","34.4","4.9","4.9",".","1.6",".",".",".",".",".",".",".",".","."
"Fabric & Apparel Structures II","154
001","20","3.325","30.0","35.0","20.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"Design: Fundamentals II","220
001","26","3.673","61.5","26.9","3.8",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Apparel Design I","225
001","9","3.667","66.7","22.2",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Textile Dsgn:Print & Dye I","227
001","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design:Structural I","228
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","242
001","16","3.933","81.3","12.5",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"","242
002","18","3.639","61.1","22.2","5.6","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Visual Communication II","Course Total","34","3.773","70.6","17.6","2.9","2.9","2.9",".",".",".",".",".",".",".","2.9",".",".","."
"Textile Science","251
001","29","3.339","41.4","27.6","10.3","10.3",".","3.4","3.4","3.4",".",".",".",".",".",".",".","."
"Independent Study","299
043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Interior Design II","322
001","35","3.621","51.4","25.7","11.4",".","5.7",".",".",".",".",".",".",".","5.7",".",".","."
"Sustainabl Residntl Constructn","356
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Textile Design: Weaving II","429
001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Color Theory and Technology","451
001","17","3.500","41.2","35.3","5.9","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Studies in the Arts","469
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","501
001","39","3.718","74.4","15.4","5.1",".","2.6",".","2.6",".",".",".",".",".",".",".",".","."
"","501
004","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
501","31","3.742","74.2","19.4","3.2",".",".",".","3.2",".",".",".",".",".",".",".",".","."
"","006
501","13","3.808","84.6","7.7",".",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","501
007","9","3.976","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
012","7","3.071","57.1",".","14.3","14.3",".",".","14.3",".",".",".",".",".",".",".",".","."
"","501
013","24","3.854","83.3","4.2","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","015
501","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","016
501","33","3.742","63.6","12.1","18.2",".",".",".",".",".",".",".",".",".","6.1",".",".","."
"","017
501","14","3.500","35.7","42.9",".",".",".","7.1",".",".",".",".",".",".","14.3",".",".","."
"","501
018","14","3.846","64.3","28.6",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","501
021","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","022
501","6","3.600","33.3","33.3","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Special Topics","Course Total","234","3.780","74.4","14.1","6.0","0.4","0.9","0.4","1.3","0.4",".",".",".",".","2.1",".",".","."
"Experimental Textile Design","528
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship","601
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691
041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691
043","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","5","***","","","","","","","","","","","","","","","",""
"","699
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
033","3","***","","","","","","","","","",".",".",".",".",".",".","."
