"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"LATIN AMER, CARIB & IBERIAN","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"525
LACIS","","","","","","","","","","","","","","","","","","","",""
"Latin America-Introduction","260","001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Quechua","362","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Quechua","363","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Yucatec Maya","377","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Latin American Area","982","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"LACIS
525","","Dept. Total","14","3.891","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
