"CHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"945
Seminar-Chemical Biology (Adv)","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"960
Seminar-Physical Chemistry","002","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"964","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"964","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"964","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"964","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar: Molecular Dynamics","Course Total","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".",".",".","11.1","."
"990","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","034","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","058","","13","",".",".",".",".",".",".",".","92.3","7.7",".",".",".",".",".",".","."
"990","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","076","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Research-Organic","Course Total","","66","",".",".",".",".",".",".",".","95.5","1.5",".",".","3.0",".",".",".","."
"992","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"992","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"992","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"992","011","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"992","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"992","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"992","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"992","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"992","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"992","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"992","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"992","031","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"992","033","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"992","037","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"992","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"992","041","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"992","046","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"992","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"992","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"992","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"992","077","","2","***","","","","","","","","","",".",".",".",".",".",".","."
