"MANAGEMENT AND HUMAN RES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","40","3.413","35.0","40.0","12.5","7.5",".","5.0",".",".",".",".",".",".",".",".",".","."
"","002
300","37","3.405","32.4","37.8","18.9","5.4","2.7","2.7",".",".",".",".",".",".",".",".",".","."
"","300
003","32","3.906","84.4","12.5","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
004","32","3.903","81.3","12.5","3.1",".",".",".",".",".",".",".",".",".","3.1",".",".","."
"","300
005","40","3.438","30.0","47.5","10.0","10.0",".","2.5",".",".",".",".",".",".",".",".",".","."
"","300
006","34","3.853","76.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
007","40","3.488","30.0","45.0","17.5","7.5",".",".",".",".",".",".",".",".",".",".",".","."
"","008
300","31","3.867","80.6","9.7","3.2","3.2",".",".",".",".",".",".",".",".","3.2",".",".","."
"","010
300","151","3.864","84.8","7.3","6.0","1.3",".","0.7",".",".",".",".",".",".",".",".",".","."
"Organizational Behavior","Course Total","437","3.715","64.5","21.7","8.5","3.4","0.2","1.1",".",".",".",".",".",".","0.5",".",".","."
"","305
001","50","3.860","80.0","14.0","4.0","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","26","3.615","50.0","26.9","19.2","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Human Resource Management","Course Total","76","3.776","69.7","18.4","9.2","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Chall & Solu in Bus Sustain","310
001","23","3.674","47.8","39.1","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Entrepreneurship","321
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
001","57","3.614","45.6","31.6","22.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
322","49","3.585","26.5","59.2","10.2",".",".",".",".","4.1",".",".",".",".",".",".",".","."
"Intro to Entrepreneurial Mgnt","Course Total","106","3.601","36.8","44.3","17.0",".",".",".",".","1.9",".",".",".",".",".",".",".","."
"","365
002","18","3.917","88.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
003","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
365","38","3.882","89.5","2.6","5.3",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"","365
00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","65","3.908","90.8","3.1","4.6",".","1.5",".",".",".",".",".",".",".",".",".",".","."
"","399
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","2","***","","","","","","","","","","","","","","","",""
"The Management of Teams","401
001","41","3.671","48.8","36.6","14.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Issues in Management","403
001","28","3.982","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
002","25","3.780","64.0","28.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Management","Course Total","47","3.883","80.9","14.9","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","423
001","38","3.461","26.3","50.0","15.8","5.3","2.6",".",".",".",".",".",".",".",".",".",".","."
"","002
423","34","3.088",".","32.4","52.9","14.7",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Management","Course Total","72","3.285","13.9","41.7","33.3","9.7","1.4",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneur Growth Strategies","427
002","31","3.758","54.8","41.9","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Venture Creation","434
001","42","3.833","81.0","9.5","7.1",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"Technology Entrepreneurship","441
001","23","3.500","26.1","52.2","17.4","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","612
001","21","3.881","81.0","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","612
002","12","3.708","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Labor-Management Relations","Course Total","33","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","628
001","35","3.843","74.3","20.0","5.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","628
002","40","3.850","77.5","17.5","2.5","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"Negotiations","Course Total","75","3.847","76.0","18.7","4.0","1.3",".",".",".",".",".",".",".",".",".",".",".","."
