"HORTICULTURE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"476
HORT","","","","","","","","","","","","","","","","","","","",""
"227
Propagation of Hort Plants","001","","12","3.000","16.7","16.7","25.0","33.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"299","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"326
Plant Nutrition Management","001","","7","2.571","14.3",".","42.9",".","28.6","14.3",".",".",".",".",".",".",".",".",".","."
"334
Greenhouse Cultivation","001","","28","3.661","60.7","17.9","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"335
Greenhouse Cultivation Lab","002","","16","3.875","87.5","6.3",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"338
Plant Breeding&Biotechnolgy","001","","11","2.500","27.3",".","9.1","9.1","36.4","18.2",".",".",".",".",".",".",".",".",".","."
"340
Plant Cell Cult. & Genet. Eng.","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"345
Fruit Crop Production","001","","16","2.938","6.3","43.8","18.8","18.8",".","12.5",".",".",".",".",".",".",".",".",".","."
"372
Colloquium-Organic Agriculture","001","","22","3.700","72.7",".","13.6",".",".","4.5",".","9.1",".",".",".",".",".",".",".","."
"375
Special Topics","005","","11","3.182","27.3","18.2","27.3","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"500
Molecular Biology Techniques","001","","17","3.294","35.3","17.6","23.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".","."
"501
Principles-Plant Breeding","001","","13","3.115","23.1","30.8","23.1","7.7","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"550
Molec Approach-Crop Improvt","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"572
Stat Meth for Bioscience II","001","","12","3.125","16.7","25.0","50.0",".",".","8.3",".",".",".",".",".",".",".",".",".","."
"682
Senior Honors Thesis","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"799","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Horticulture Teaching","Course Total","","5","***","","","","","","","","","","","","","","","",""
"875","001","","10","3.650","60.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"875","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"875","005","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","45","3.855","86.7","8.9","2.2","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"910
Seminar","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"957
Seminar-Plant Breeding","001","","14","3.679","57.1","28.6","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","","","Page 31 of 435"
