"ECONOMICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","","",""
"Indust Struct&Comptitv Stratgy","458","001","","43","3.674","55.8","23.3","20.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Latin Amer Economc Develpmt","462","001","","27","3.611","48.1","25.9","25.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internatl Trade & Finance","464","001","","64","3.116","29.7","17.2","23.4","12.5","10.9","4.7",".","1.6",".",".",".",".",".",".",".","."
"American Economy Since 1865","466","001","","36","3.557","38.9","30.6","27.8",".",".",".",".","2.8",".",".",".",".",".",".",".","."
"Intl Industrial Organizations","467","001","","62","2.968","22.6","14.5","33.9","11.3","11.3","3.2","3.2",".",".",".",".",".",".",".",".","."
"Indus Organizat/Imperf Comp","468","001","","67","3.317","29.9","26.9","25.4","11.9","6.0",".",".",".",".",".",".",".",".",".",".","."
"Econ Probs-Developing Areas","474","001","","37","2.784","32.4","5.4","13.5","10.8","27.0","8.1","2.7",".",".",".",".",".",".",".",".","."
"Economics of Growth","475","001","","24","3.545","37.5","25.0","29.2",".",".",".",".",".",".",".",".",".",".","4.2",".","4.2"
"Game Theory & Economic Anal","521","001","","70","3.565","52.9","20.0","20.0","4.3","2.9",".",".",".",".",".",".",".",".",".",".","."
"Natural Resource Economics","531","001","","15","3.107","20.0","20.0","26.7","13.3","13.3",".",".","6.7",".",".",".",".",".",".",".","."
"Economics of Health Care","548","001","","34","3.309","11.8","47.1","32.4","8.8",".",".",".",".",".",".",".",".",".",".",".","."
"Honors-Research Proj Design","580","001","","16","3.563","68.8","12.5","12.5",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","581","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","581","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Thesis","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Population and Society","663","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Issues-International Finance","666","001","","38","3.618","50.0","26.3","21.1","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Energy Economics","671","001","","7","2.643","28.6","14.3",".",".","42.9","14.3",".",".",".",".",".",".",".",".",".","."
"Directed Study","698","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","11","3.981","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Macroeconomics I","702","001","","83","3.530","31.3","45.8","21.7",".","1.2",".",".",".",".",".",".",".",".",".",".","."
"Econometrics II","705","001","","86","3.494","27.9","40.7","29.1",".",".",".",".",".",".",".",".",".","2.3",".",".","."
"Microeconomics II","708","001","","83","3.446","27.7","36.1","34.9",".","1.2",".",".",".",".",".",".",".",".",".",".","."
"Econ Stats & Econometrics 2","710","001","","59","3.282","20.3","25.4","44.1","10.2",".",".",".",".",".",".",".",".",".",".",".","."
"Thry: Microeconomics Seqnce","713","001","","61","3.270","21.3","14.8","60.7","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Thry: Macroeconomics Seqnce","714","001","","48","3.404","31.3","29.2","25.0","12.5",".",".",".","2.1",".",".",".",".",".",".",".","."
"Econometric Methods","716","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Econ Stats & Econometrics 3","719","001","","10","3.938","70.0","10.0",".",".",".",".",".","10.0",".",".",".",".",".","10.0",".","."
"Monetary & Financial Theory","735","001","","12","3.625","58.3","8.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Institutn Aspect-Labor Econ","751","001","","10","3.750","20.0","20.0",".",".",".",".",".","60.0",".",".",".",".",".",".",".","."
"Industrial Organizat Theory","761","001","","14","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Bayesian Decisn&Cntrl","775","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Microeconomic Theory II","806","001","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv International Economics","872","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-International Economics","873","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
