"","602
002","","12","3.792","58.3","41.7",".",".",".","",".",".",".","",".","",".",".","",".","","",".",".",".","."
"","602
003","","5","***","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"Special Topics in EP","Course Total","","26","3.769","65.4","26.9","3.8","3.8",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"EP Graduate Seminar","920
001","","8","",".",".",".",".",".","",".",".",".","",".","","100.0",".","",".","","",".",".",".","."
"E P
347","Dept. Total","","74","3.591","50.0","27.0","8.1","1.4","1.4","",".","1.4","",".","",".","10.8","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"347
E P","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","7","3.929","85.7","14.3",".",".",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","51","3.555","51.0","35.3","9.8",".","2.0","",".","2.0","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","58","3.575","55.2","32.8","8.6",".","1.7","",".","1.7","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","1","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","","15","3.667","26.7","6.7","6.7","6.7",".","",".",".","",".","",".","53.3","",".","",".","",".",".",".","."
"","Dept. Total","","74","3.591","50.0","27.0","8.1","1.4","1.4","",".","1.4","",".","",".","10.8","",".","",".","",".",".",".","."
