"MED","","","","","","","","","","","","","","","","","","","","","",""
"PATHOLOGY AND LABORATORY Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","","","",""
"PATH
Dept. Total
704","534","3.316","26.6","22.8","16.5","9.2","4.7","1.1","",".","8.2","",".","9.2","",".","1.5","",".",".","0.2","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","","","",""
"Junior","73","3.181","23.3","31.5","24.7","9.6","6.8","4.1","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","161","3.417","38.5","30.4","16.8","8.1","4.3","1.9","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","234","3.344","33.8","30.8","19.2","8.5","5.1","2.6","",".",".","",".",".","",".",".","",".",".",".","."
"Special","5","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Graduate","180","3.711","38.9","3.3","2.8","0.6",".",".","",".","24.4","",".","26.1","",".","3.3","",".",".","0.6","."
"Prof Yr 1","141","3.149","20.6","25.5","26.2","18.4","9.2",".","",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 2","3","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Prof Yr 3","3","***","","","","","","","","","","","","33.3","",".","33.3","",".",".",".","."
"Prof Yr 4","19","3.806","63.2","21.1","5.3",".",".",".","",".",".","",".","5.3","",".","5.3","",".",".",".","."
"Professionals","166","3.206","25.9","25.3","22.9","15.7","7.8",".","",".",".","",".","1.2","",".","1.2","",".",".",".","."
"Dept. Total","585","3.316","33.0","20.9","15.0","8.4","4.3","1.0","",".","7.5","",".","8.4","",".","1.4","",".",".","0.2","."
