"ENGLISH AS A SECOND LANGU","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"351
ESL","","","","","","","","","","","","","","","","","","",""
"","118
020","15","3.500","40.0","26.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","021
118","15","3.333","20.0","40.0","33.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","022
118","12","2.958","16.7","25.0","33.3","16.7",".",".","8.3",".",".",".",".",".",".",".",".","."
"Academic Writing II","Course Total","310","3.508","46.5","29.4","15.5","4.8","1.3",".","2.3",".",".",".",".",".",".",".",".","0.3"
"Oral Communication Skills","343
001","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Acad Present. and Discussion","344
001","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"American English Pronunciation","345
001","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Academic Writing for Grads","349
001","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Prof and Acad Writing Skills","350
001","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"International TA Training","370
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"ESL
351","Dept. Total","720","3.508","20.0","12.6","6.7","2.1","0.6",".","1.0",".",".","55.3","1.7",".",".",".",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"351
ESL","","","","","","","","","","","","","","","","","","",""
"Freshmen","","182","3.427","18.7","13.2","9.3","2.2",".",".","1.6",".",".","53.8","1.1",".",".",".",".","."
"Sophomore","","250","3.529","22.4","13.6","6.4","4.0","0.8",".","0.4",".",".","49.6","2.8",".",".",".",".","."
"Junior","","156","3.599","26.9","15.4","7.1","0.6","1.3",".","0.6",".",".","46.8","1.3",".",".",".",".","."
"Senior","","44","3.389","27.3","20.5","9.1",".",".",".","4.5",".",".","34.1","2.3",".",".",".",".","2.3"
"Undergraduates","","632","3.508","22.8","14.4","7.6","2.4","0.6",".","1.1",".",".","49.1","1.9",".",".",".",".","0.2"
"Special","","27","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Graduate","","65","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Prof Yr 4","","5","***","","","","","","","","","","100.0",".",".",".",".",".","."
"Professionals","","5","***","","","","","","","","","","100.0",".",".",".",".",".","."
"","Dept. Total","729","3.508","19.8","12.5","6.6","2.1","0.5",".","1.0",".",".","55.8","1.6",".",".",".",".","0.1"
