"POPULATION HEALTH SCIENCE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"915","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"915","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"915","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"915","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"915","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"915","050","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internl Hlth Systems & Policy","Course Total","","20","3.650","55.0","20.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","24","",".",".",".",".",".",".",".","70.8",".",".",".","16.7","8.3",".","4.2","."
