"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"","342
002","66","3.295","30.3","34.8","16.7","12.1","1.5","3.0","1.5",".",".",".",".",".",".",".",".","."
"Design of Machine Elements","Course Total","144","3.316","29.9","34.7","17.4","11.8","3.5","2.1","0.7",".",".",".",".",".",".",".",".","."
"","349
002","17","3.706","70.6","5.9","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","349
004","20","3.225","20.0","15.0","55.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","349
007","20","3.125","15.0","30.0","35.0","15.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"","349
009","17","3.294","47.1","29.4","5.9","5.9",".","5.9","5.9",".",".",".",".",".",".",".",".","."
"Engineering Design Projects","Course Total","74","3.324","36.5","20.3","29.7","9.5",".","2.7","1.4",".",".",".",".",".",".",".",".","."
"","352
001","19","3.868","73.7","26.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","352
002","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","352
003","19","3.000","5.3","31.6","36.8","10.5","15.8",".",".",".",".",".",".",".",".",".",".","."
"","352
004","20","3.450","35.0","35.0","20.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Interdis Expr Dsgn Projects II","Course Total","78","3.577","52.6","24.4","14.1","3.8","5.1",".",".",".",".",".",".",".",".",".",".","."
"","361
001","46","2.856","13.0","37.0","15.2","8.7","10.9","8.7","4.3",".",".",".",".",".","2.2",".",".","."
"","361
002","61","2.680","13.1","21.3","18.0","16.4","18.0","9.8","3.3",".",".",".",".",".",".",".",".","."
"","003
361","59","2.793","15.3","18.6","23.7","22.0","6.8","8.5","3.4",".",".",".",".",".","1.7",".",".","."
"Thermodynamics","Course Total","166","2.768","13.9","24.7","19.3","16.3","12.0","9.0","3.6",".",".",".",".",".","1.2",".",".","."
"","363
001","69","2.949","21.7","21.7","20.3","14.5","14.5","5.8","1.4",".",".",".",".",".",".",".",".","."
"","002
363","45","3.233","35.6","6.7","46.7",".","8.9",".","2.2",".",".",".",".",".",".",".",".","."
"Fluid Dynamics","Course Total","114","3.061","27.2","15.8","30.7","8.8","12.3","3.5","1.8",".",".",".",".",".",".",".",".","."
"Elementary Heat Transfer","364
001","141","3.170","27.0","24.1","24.8","14.2","7.1","0.7","2.1",".",".",".",".",".",".",".",".","."
"Engr Measure & Instrumentation","368
001","84","3.161","14.3","36.9","25.0","19.0","3.6",".","1.2",".",".",".",".",".",".",".",".","."
"Energy Systems Laboratory","370
001","119","3.084","24.4","20.2","18.5","21.8","15.1",".",".",".",".",".",".",".",".",".",".","."
"","417
001","52","3.779","69.2","17.3","13.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
417","60","3.592","51.7","23.3","18.3","5.0","1.7",".",".",".",".",".",".",".",".",".",".","."
"Intro to Polymer Processing","Course Total","112","3.679","59.8","20.5","16.1","2.7","0.9",".",".",".",".",".",".",".",".",".",".","."
"Engr Design with Polymers","418
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","424
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
424","6","3.250","16.7","50.0","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Stat Expermntl Design","Course Total","10","3.389","30.0","30.0","20.0",".","10.0",".",".","10.0",".",".",".",".",".",".",".","."
"Rheology of Foods&Biomaterials","441
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Design Problems-Elasticity","444
001","8","3.429","25.0","25.0","37.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","446
001","61","3.148","19.7","29.5","16.4","29.5","4.9",".",".",".",".",".",".",".",".",".",".","."
"","446
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Automatic Controls","Course Total","65","3.162","20.0","29.2","18.5","27.7","4.6",".",".",".",".",".",".",".",".",".",".","."
"Comptr Cntrl-Machns&Process","447
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Redesign & Prototype Fab","449
001","22","3.636","50.0","27.3","22.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Thermal/Struct FE Anal","460
001","21","3.595","42.9","33.3","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thermal Systems Modeling","461
001","35","3.343","22.9","37.1","28.6","8.6","2.9",".",".",".",".",".",".",".",".",".",".","."
"Welding Metallurgy","462
001","13","3.615","38.5","46.2","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Air Pollutn-Measure&Control","466
001","53","3.566","45.3","26.4","24.5","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Engr Princpl Off-Road Vehicles","476
001","16","3.188","18.8","6.3","68.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","489
034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","Page 145 of 435",""
