"HISTORY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","","",""
"Introduction to Buddhism","308","001","","60","3.327","26.7","23.3","16.7","6.7","8.3",".",".","16.7",".",".",".",".","1.7",".",".","."
"Sci Revol:Copernicus-Newton","323","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Science in Enlightenment","324","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","335","001","","17","3.719","70.6","5.9","11.8",".","5.9",".",".","5.9",".",".",".",".",".",".",".","."
"","335","002","","16","3.156","50.0","31.3",".",".",".","6.3","12.5",".",".",".",".",".",".",".",".","."
"Korean Histry, 1945 to present","","Course Total","","33","3.438","60.6","18.2","6.1",".","3.0","3.0","6.1","3.0",".",".",".",".",".",".",".","."
"American Rev 1763-1789","344","001","","40","2.925","22.5","20.0","25.0","5.0","22.5",".","5.0",".",".",".",".",".",".",".",".","."
"Transgender History","346","001","","21","3.750","57.1","28.6","9.5",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"The Caribbean & its Diasporas","347","001","","21","3.025","14.3","33.3","23.8",".","19.0","4.8",".","4.8",".",".",".",".",".",".",".","."
"Contemp France 1914-Present","349","001","","30","3.021","10.0","26.7","20.0","10.0","10.0","3.3",".","20.0",".",".",".",".",".",".",".","."
"Women&Gender in US Since 1870","354","001","","19","3.553","42.1","36.8","10.5","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"The Anglo-Saxons","360","001","","7","3.214","28.6","14.3","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Britain: 1485-1660","361","001","","22","3.286","13.6","36.4","36.4","9.1",".",".",".","4.5",".",".",".",".",".",".",".","."
"Women in History","392","001","","38","3.545","39.5","23.7","15.8","7.9",".",".",".","13.2",".",".",".",".",".",".",".","."
"Slavery,Civil War&Recon1848-77","393","001","","55","3.144","12.7","32.7","21.8","5.5","5.5","1.8","1.8",".",".",".",".",".","1.8",".","16.4","."
"History-American Education","412","001","","23","3.739","60.9","26.1","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of Russia","417","001","","53","3.400","15.1","15.1","26.4",".",".",".",".","41.5",".",".",".",".","1.9",".",".","."
"US Military History Since 1899","428","001","","61","3.367","23.0","31.1","16.4","4.9","3.3","1.6",".","18.0",".",".",".",".",".","1.6",".","."
"Amer Foreign Rel-1901 on","434","001","","47","3.496","29.8","42.6","19.1","2.1","2.1",".",".","4.3",".",".",".",".",".",".",".","."
"Islamic Hist:Orig-Ottoman Empr","439","001","","36","3.500","25.0","41.7","19.4","2.8",".",".",".","11.1",".",".",".",".",".",".",".","."
"Rev&Conflict-Mod Latin Amer","441","001","","21","3.310","23.8","38.1","23.8","4.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"History of East Africa","444","001","","10","3.750","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hist Southeast Asia to 1800","457","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist SE Asia Since 1800","458","001","","23","3.818","65.2","26.1","4.3",".",".",".",".",".",".",".",".",".",".",".","4.3","."
"American West Since 1850","462","001","","93","3.385","36.6","33.3","17.2","5.4","1.1","1.1","3.2","2.2",".",".",".",".",".",".",".","."
"Topics in S Asian History","463","001","","10","3.600","50.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"American Economy Since 1865","466","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Eur Soc Hist 1914-Present","475","001","","19","3.382","42.1","21.1","10.5","5.3","5.3","5.3",".","10.5",".",".",".",".",".",".",".","."
"Reading Seminar in History","500","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","505","001","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","505","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"History at Work","","Course Total","","20","3.980","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History Internship Seminar","506","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Legal Pluralism","510","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Holocaust: Hist, Memory & Educ","515","001","","18","3.889","83.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","002","","13","3.769","69.2","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","600","003","","8","3.500","37.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","005","","15","3.893","73.3","20.0",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","600","006","","13","3.769","69.2","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","008","","14","3.500","42.9","35.7","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","600","009","","14","3.464","42.9","50.0",".",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","","","Page 246 of 435",""
