"","990
073","2","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
078","2","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
081","2","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Research","Course Total","34","",".",".",".",".",".","",".","",".","76.5","",".",".","",".","23.5",".",".",".","."
"PATH-BIO
703","Dept. Total","742","3.629","42.5","8.2","9.7","1.5","1.3","",".","",".","29.2","",".",".","",".","1.5","5.9",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","6","2.676","16.7",".","33.3","16.7","33.3","",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","8","3.368","75.0",".",".",".","25.0","",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","","15","3.500","46.7","20.0","26.7",".","6.7","",".","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","29","3.296","48.3","10.3","20.7","3.4","17.2","",".","",".",".","",".",".","",".",".",".",".",".","."
"Special","","19","",".",".",".",".",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"Graduate","","43","3.625","14.0",".","9.3",".",".","",".","",".","53.5","",".",".","",".","23.3",".",".",".","."
"Prof Yr 1","","170","3.518","24.7","4.7","18.8","1.2","0.6","",".","",".","40.0","",".",".","",".",".","10.0",".",".","."
"Prof Yr 2","","324","3.626","48.5","11.4","9.0","2.5","1.2","",".","",".","19.1","",".",".","",".",".","8.3",".",".","."
"Prof Yr 3","","83","3.914","78.3","15.7","1.2",".",".","",".","",".","3.6","",".",".","",".",".",".",".","1.2","."
"Prof Yr 4","","74","4.000","41.9",".",".",".",".","",".","",".","56.8","",".",".","",".","1.4",".",".",".","."
"Professionals","","651","3.652","45.3","8.9","9.5","1.5","0.8","",".","",".","26.9","",".",".","",".","0.2","6.8",".","0.2","."
"","Dept. Total","742","3.629","42.5","8.2","9.7","1.5","1.3","",".","",".","29.2","",".",".","",".","1.5","5.9",".","0.1","."
