"ENGLISH AS A SECOND LANGU","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"351
ESL","","","","","","","","","","","","","","","","","","",""
"","110
005","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","110
006","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Intensv English as 2nd Lang","Course Total","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Grammar for Academic Use","115
001","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
001","18","",".",".",".",".",".",".",".",".",".","88.9","11.1",".",".",".",".","."
"","116
002","17","",".",".",".",".",".",".",".",".",".","94.1","5.9",".",".",".",".","."
"","003
116","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"","116
004","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","116
005","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Acad Reading and Vocab Skills","Course Total","82","",".",".",".",".",".",".",".",".",".","93.9","6.1",".",".",".",".","."
"","117
001","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
002","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"","117
003","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","004
117","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"","117
005","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
006","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
007","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
008","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
009","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
010","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
011","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","117
012","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
013","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
014","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","015
117","15","",".",".",".",".",".",".",".",".",".","73.3","26.7",".",".",".",".","."
"Academic Writing I","Course Total","231","",".",".",".",".",".",".",".",".",".","97.0","3.0",".",".",".",".","."
"","118
001","13","3.115","46.2","23.1","15.4",".",".",".","15.4",".",".",".",".",".",".",".",".","."
"","118
002","14","3.250","42.9","14.3","28.6","7.1",".",".","7.1",".",".",".",".",".",".",".",".","."
"","003
118","15","3.633","73.3","20.0",".",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","004
118","15","3.533","40.0","33.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","005
118","13","3.500","38.5","30.8","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","118
006","15","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
118","12","3.500","41.7","33.3",".","8.3","8.3",".",".",".",".",".",".",".",".",".",".","8.3"
"","118
008","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
118","16","3.719","50.0","43.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
118","15","3.767","60.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","011
118","15","3.533","40.0","33.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","012
118","15","3.767","60.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","013
118","15","3.533","40.0","40.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","014
118","15","3.800","80.0","6.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","118
015","9","3.500","44.4","11.1","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","016
118","14","3.393","21.4","50.0","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","017
118","15","3.567","53.3","26.7","6.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","018
118","15","3.233","33.3","33.3","20.0",".","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"","019
118","13","3.154","38.5","7.7","38.5","7.7",".",".","7.7",".",".",".",".",".",".",".",".","."
