"ENVIR ST - GAYLORD NELSON I","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Forum on the Environment","101","001","121","3.846","84.3","5.8","6.6",".","1.7","0.8",".","0.8",".",".",".",".",".",".",".","."
"Environmental Geology","106","001","49","2.898","4.1","18.4","42.9","22.4","12.2",".",".",".",".",".",".",".",".",".",".","."
"Envir St-Social Perspective","112","001","126","3.613","57.1","25.4","9.5","1.6","2.4","0.8","1.6","1.6",".",".",".",".",".",".",".","."
"Intro Earth System","120","001","65","2.937","7.7","26.2","35.4","13.8","9.2","3.1","1.5",".",".",".",".",".","1.5",".",".","1.5"
"Principles-Envrnmtl Science","126","001","92","3.283","26.1","23.9","39.1","4.3","5.4","1.1",".",".",".",".",".",".",".",".",".","."
"Intro People-Environment Geog","139","001","88","3.205","30.7","13.6","30.7","15.9","9.1",".",".",".",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171","001","15","3.423","20.0","46.7","6.7","13.3",".",".",".",".",".",".",".",".","13.3",".",".","."
"Insects and Human Culture","201","001","21","3.738","66.7","23.8","4.8",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Glbl Envir Hlth:Interdis Intro","213","001","40","3.795","72.5","15.0","7.5",".","2.5",".",".",".",".",".",".",".",".",".","2.5","."
"Soil: Ecosystem & Resource","230","001","20","2.475","10.0","10.0","25.0","5.0","35.0","15.0",".",".",".",".",".",".",".",".",".","."
"Environment&Global Economy","244","001","35","3.457","40.0","25.7","25.7","2.9","5.7",".",".",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260","001","25","3.020","32.0","12.0","12.0","24.0","16.0","4.0",".",".",".",".",".",".",".",".",".","."
"Environment and Religion","270","001","39","3.763","59.0","35.9",".",".","2.6",".",".",".",".",".",".",".","2.6",".",".","."
"Env Lit:Speaking for Nature","307","001","23","3.955","87.0","8.7",".",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"Chall & Solu in Bus Sustain","310","001","10","3.550","50.0","10.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Warming:Science&Impacts","332","001","24","3.159","12.5","29.2","33.3","8.3","8.3",".",".","8.3",".",".",".",".",".",".",".","."
"Environmental Conservation","339","001","40","3.000","12.5","22.5","40.0","12.5","7.5","5.0",".",".",".",".",".",".",".",".",".","."
"Environmental Economics","343","001","15","2.983","26.7","20.0","26.7","6.7","13.3",".","6.7",".",".",".",".",".",".",".",".","."
"Wetlands Ecology","361","001","15","3.433","33.3","40.0","13.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Renewable Energy Systems","367","001","21","3.381","28.6","38.1","19.0","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","400","001","35","3.286","20.0","31.4","37.1","8.6","2.9",".",".",".",".",".",".",".",".",".",".","."
"","400","002","11","3.636","36.4","54.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics: Biol Aspects-Envir St","","Course Total","51","3.384","29.4","33.3","27.5","7.8","2.0",".",".",".",".",".",".",".",".",".",".","."
"","401","001","21","3.000","57.1",".","9.5",".","9.5","23.8",".",".",".",".",".",".",".",".",".","."
"","401","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics: Env Perspctve-Phys Sci","","Course Total","23","2.944","52.2",".","13.0","4.3","8.7","21.7",".",".",".",".",".",".",".",".",".","."
"","402","001","17","4.000","94.1",".",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","402","002","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","003","37","3.446","43.2","24.3","27.0",".","2.7",".","2.7",".",".",".",".",".",".",".",".","."
"","402","004","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","005","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","006","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","007","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Perspectives-Envir Studies","","Course Total","117","3.668","78.6","10.3","8.5",".","0.9",".","0.9",".",".",".",".",".","0.9",".",".","."
"Topics in Envir: Humanistic","404","001","33","3.470","27.3","60.6",".","3.0","9.1",".",".",".",".",".",".",".",".",".",".","."
"Law and Environment","430","001","14","3.500","21.4","50.0","21.4",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"People, Wildlife & Landscapes","434","001","6","3.333","16.7","33.3","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Environmental Health","471","001","83","3.634","44.6","36.1","18.1",".",".",".",".","1.2",".",".",".",".",".",".",".","."
"Ecology of Fishes","510","001","19","3.053","26.3","10.5","36.8","10.5","10.5","5.3",".",".",".",".",".",".",".",".",".","."
"","511","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","","Page 166 of 435",""
