"THEATRE AND DRAMA","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","","",""
"426
Theatre for Young Audiences","001","","15","3.700","66.7","20.0","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"440
Musical Performnc for Actor","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"464
Costume Technology Topics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"466
Stage Lighting Design II","001","","7","3.588","28.6","28.6","14.3",".",".",".",".","14.3",".",".",".",".","14.3",".",".","."
"469
Interdis Studies in the Arts","001","","7","2.750",".","14.3",".",".","14.3",".",".","71.4",".",".",".",".",".",".",".","."
"526
Theatres-China & Japan","001","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"561
Backstage Laboratory III","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"563
Costume Design II","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"570
Advanced Stagecraft","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"579
Adv Concepts Stage Management","001","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"619","001","","16","3.594","81.3","6.3",".",".","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"619","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"619","003","","17","4.000","94.1",".",".",".",".",".",".",".",".",".",".",".",".",".","5.9","."
"Specl Topics-Theatre&Drama","Course Total","","38","3.784","81.6","10.5",".",".","2.6",".","2.6",".",".",".",".",".",".",".","2.6","."
"661","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"661","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"661","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"661","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Production Practicum","Course Total","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"682","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"763
Costume Design III","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"911","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"911","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Probs in Theatre&Drama","Course Total","","5","***","","","","","","","","","","","","","","","",""
"990","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
