"OPERATIONS & TECHNOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","",""
"","300
001","96","3.214","29.2","25.0","18.8","13.5","13.5",".",".",".",".",".",".",".",".",".",".","."
"","002
300","91","3.033","18.7","15.4","38.5","15.4","9.9","1.1","1.1",".",".",".",".",".",".",".",".","."
"","003
300","90","2.906","10.0","23.3","38.9","8.9","12.2","5.6","1.1",".",".",".",".",".",".",".",".","."
"","300
004","93","2.989","11.8","22.6","35.5","11.8","18.3",".",".",".",".",".",".",".",".",".",".","."
"Operations Management","Course Total","370","3.038","17.6","21.6","32.7","12.4","13.5","1.6","0.5",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","28","3.574","42.9","32.1","17.9",".","3.6",".",".",".",".",".",".",".","3.6",".",".","."
"Fundamentls-Supply Chain Mgmt","421
001","18","3.250","38.9","22.2","16.7","5.6","11.1","5.6",".",".",".",".",".",".",".",".",".","."
"Database Mngmnt & Applications","442
001","28","3.589","42.9","35.7","17.9","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Simulation Modeling & Analysis","620
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Production Planning&Control","654
001","33","3.985","97.0","3.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
001","47","3.467","34.0","23.4","40.4",".",".",".",".",".",".",".",".",".","2.1",".",".","."
"","700
002","50","3.540","36.0","36.0","28.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","030
700","55","3.636","49.1","30.9","18.2","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"Operations Management","Course Total","152","3.553","40.1","30.3","28.3","0.7",".",".",".",".",".",".",".",".","0.7",".",".","."
"","732
001","50","3.560","36.0","46.0","12.0","6.0",".",".",".",".",".",".",".",".",".",".",".","."
"","002
732","47","3.652","44.7","40.4","10.6","2.1",".",".",".",".",".",".",".",".","2.1",".",".","."
"","030
732","59","3.551","40.7","30.5","27.1","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"Economics for Managers","Course Total","156","3.584","40.4","38.5","17.3","3.2",".",".",".",".",".",".",".",".","0.6",".",".","."
"Healthcare Ops Mgt","753
001","17","3.735","47.1","52.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","003
765","30","3.717","50.0","43.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
031","43","3.767","53.5","46.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","78","3.726","51.3","46.2","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sustainable Approaches","770
001","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","799
157","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Strategic Sustainability","861
001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"PhD Thesis-Operatns&Inf Mgt","990
139","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Read&Rsch-Oper&Info Mgt PhD","999
139","1","***","","","","","","","","","",".",".",".",".",".",".","."
