"COMPUTER SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","",""
"799","033","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"799","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","035","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"799","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","076","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","082","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"799","085","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","090","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","095","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","097","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"799","101","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"799","111","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","112","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","120","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","124","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","127","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"799","129","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research","Course Total","","135","",".",".",".",".",".",".",".","97.8",".",".",".","2.2",".",".",".","."
"838
Topics in Computing","001","","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"899","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"899","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"899","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"899","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"899","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","033","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"899","034","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"899","035","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"899","082","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","111","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","112","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","128","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator Research","Course Total","","43","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"900
Adv Seminar - Computer Science","001","","41","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"915
Computn&Informatcs in Biol&Med","001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
