"FOREST AND WILDLIFE ECOLO","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","","",""
"110
Living with Wildlife","001","","213","3.109","16.9","31.9","25.8","13.1","8.5","1.4","1.4","0.9",".",".",".",".",".",".",".","."
"248","001","","11","3.318","54.5","9.1","9.1","18.2",".","9.1",".",".",".",".",".",".",".",".",".","."
"248","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Envir, Nat Resources & Society","Course Total","","14","3.464","64.3","7.1","7.1","14.3",".","7.1",".",".",".",".",".",".",".",".",".","."
"299","026","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"300
Forest Biometry","001","","22","3.136","27.3","18.2","22.7","18.2","13.6",".",".",".",".",".",".",".",".",".",".","."
"306
Terr Vertbrt:Life Hist&Ecol","001","","51","3.120","23.5","27.5","21.6","15.7","3.9","3.9","2.0","2.0",".",".",".",".",".",".",".","."
"375","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"375","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","3","***","","","","","","","","","","","","","","","",""
"379
Princ-Wildlife Management","001","","46","2.511","15.2","15.2","19.6",".","30.4","17.4","2.2",".",".",".",".",".",".",".",".","."
"410","001","","11","2.955","9.1","27.3","18.2","36.4","9.1",".",".",".",".",".",".",".",".",".",".","."
"410","002","","14","3.357","21.4","35.7","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Silviculture","Course Total","","25","3.208","16.0","32.0","28.0","20.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"460
General Ecology","001","","10","3.150","20.0","10.0","60.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"501","001","","18","3.417","27.8","38.9","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"501","002","","19","3.789","68.4","21.1","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Forest Fire Behavior & Mgmt","Course Total","","37","3.608","48.6","29.7","16.2","5.4",".",".",".",".",".",".",".",".",".",".",".","."
"531
Natural Resource Economics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"572
Stat Meth for Bioscience II","001","","14","3.643","35.7","57.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"652
Decisn Meth-Nat Resrc Mangr","001","","18","3.167","22.2","16.7","38.9","16.7","5.6",".",".",".",".",".",".",".",".",".",".","."
"655
Animal Population Dynamics","001","","34","3.294","20.6","29.4","38.2","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"672
Historical Ecology","001","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"675
Prof Develop-Forest/Wildlife","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"682
Senior Honors Thesis","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"799
Practicm-Forestry&Wl Ecol Tchg","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875
Special Topics","004","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"879
Advanced Landscape Ecology","001","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","","","Page 25 of 435"
