"MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","",""
"699","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","102","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","163","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","169","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","180","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","183","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","190","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","195","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","197","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","204","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","214","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","215","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","216","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","218","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","229","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","230","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","231","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","236","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","238","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","241","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","242","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","243","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","249","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","250","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","253","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","255","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","260","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","261","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","262","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","263","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","264","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","265","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","266","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","267","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","109","3.994","98.2","0.9",".",".",".",".",".",".",".",".",".",".","0.9",".",".","."
"701
Cell Signals and Human Disease","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"812","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","","Page 373 of 435",""
