"","764
006","1","***","","","","","","","","","",".",".","",".","","",".",".",".","."
"Vet Pharmacy Clerkship","Course Total","2","***","","","","","","","","","","","","","","","","","","",""
"Grad Sem Hlth-System Pharmacy","962
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".","",".","","",".",".",".","."
"Advanced Independent Study","999
028","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".","",".","","",".",".",".","."
"PHM PRAC
728","Dept. Total","1807","3.640","59.9","19.0","11.4","4.6","2.3","0.2","0.2","1.4","0.1","0.8","",".","",".","",".",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","","","",""
"","","3","***","","","","","","","","","",".","",".","",".","",".",".",".","."
"","","","#Error","#Erro","#Erro","#Erro","#Erro","#Erro","#Erro","#Erro","#Erro","#Erro","","","","","","","","","",""
"","","","","r
r","r
r","r","r
r","r
r","r","r
r","r","r
r","","","","","","","","","",""
"Freshmen","","5","***","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","14","3.563","71.4","7.1","7.1",".","7.1",".",".","7.1",".",".","",".","",".","",".",".",".","."
"Junior","","18","3.281","22.2","33.3","27.8","5.6","5.6",".",".",".","5.6",".","",".","",".","",".",".",".","."
"Senior","","24","3.188","25.0","25.0","33.3","4.2","8.3","4.2",".",".",".",".","",".","",".","",".",".",".","."
"Undergraduates","","61","3.312","39.3","23.0","23.0","3.3","6.6","1.6",".","1.6","1.6",".","",".","",".","",".",".",".","."
"Special","","2","***","","","","","","","","","",".","",".","",".","",".",".","50.0","."
"Graduate","","27","4.000","96.3",".",".",".",".",".",".",".",".",".","",".","",".","",".",".","3.7","."
"Prof Yr 1","","210","3.942","86.2","7.6","1.0",".",".",".",".",".",".","5.2","",".","",".","",".",".",".","."
"Prof Yr 2","","671","3.358","42.8","26.1","17.9","7.5","2.7",".","0.1","2.8","0.1",".","",".","",".","",".",".",".","."
"Prof Yr 3","","574","3.565","63.4","17.6","9.2","5.2","2.6",".","0.3","1.0",".","0.5","",".","",".","",".",".",".","."
"Prof Yr 4","","259","3.822","77.2","13.9","6.6","0.4","1.2","0.8",".",".",".",".","",".","",".","",".",".",".","."
"Professionals","","1714","3.648","60.2","19.1","11.2","4.7","2.1","0.1","0.2","1.5","0.1","0.8","",".","",".","",".",".",".","."
"","Dept. Total","1807","3.640","59.9","19.0","11.4","4.6","2.3","0.2","0.2","1.4","0.1","0.8","",".","",".","",".",".","0.1","."
