"Summary by Level","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"PSYCHIAT","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","6","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","13","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","21","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","64","",".",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","100.0","."
"Graduate","","2","***","","","","","","","","","","","","","","",".","",".","",".","",".",".","100.0","."
"Prof Yr 2","","3","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 3","","54","3.585","40.7","33.3","24.1",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","1.9","."
"Prof Yr 4","","22","3.710","72.7","9.1","13.6","4.5","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","79","3.615","50.6","25.3","21.5","1.3","",".","",".","",".","",".","",".",".","",".","",".","",".",".","1.3","."
