"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","54","3.933","83.3","13.0",".",".",".",".",".",".",".",".",".",".","3.7",".",".","."
"","160
002","22","3.409","36.4","27.3","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","003
160","11","3.227","54.5","9.1","18.2",".","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"Architectural Graphics","Course Total","33","3.348","42.4","21.2","24.2",".","9.1",".","3.0",".",".",".",".",".",".",".",".","."
"","170
002","20","3.175","30.0","25.0","15.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","170
003","23","3.065","13.0","30.4","26.1","17.4","13.0",".",".",".",".",".",".",".",".",".",".","."
"","170
004","16","3.375","43.8","12.5","25.0","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"Civil Engineering Graphics","Course Total","59","3.186","27.1","23.7","22.0","13.6","13.6",".",".",".",".",".",".",".",".",".",".","."
"Intro Engineering Graphics","231
001","141","3.032","22.0","24.8","20.6","18.4","7.8","5.0","1.4",".",".",".",".",".",".",".",".","."
"","240
001","56","3.259","17.9","46.4","14.3","16.1","3.6","1.8",".",".",".",".",".",".",".",".",".","."
"","240
002","60","3.300","25.0","35.0","30.0","5.0","1.7","1.7","1.7",".",".",".",".",".",".",".",".","."
"Dynamics","Course Total","116","3.280","21.6","40.5","22.4","10.3","2.6","1.7","0.9",".",".",".",".",".",".",".",".","."
"Eng. Problem Solving EES","273
001","23","3.630","60.9","26.1",".","4.3","8.7",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Mech Engr Project","291
050","40","3.899","82.5","15.0","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
015","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","306
001","74","3.155","24.3","12.2","45.9","5.4","12.2",".",".",".",".",".",".",".",".",".",".","."
"","002
306","69","3.007","21.7","7.2","43.5","14.5","8.7","4.3",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","143","3.084","23.1","9.8","44.8","9.8","10.5","2.1",".",".",".",".",".",".",".",".",".","."
"","307
001","11","3.773","72.7","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","10","3.150","10.0","30.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","307
003","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
307","12","3.542","50.0","41.7",".",".",".","8.3",".",".",".",".",".",".",".",".",".","."
"","006
307","12","3.667","58.3","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","307
007","10","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
008","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
009","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","010
307","12","3.292","25.0","58.3","8.3",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","011
307","9","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
012","12","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","013
307","12","3.292","16.7","41.7","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","014
307","11","3.545","36.4","36.4","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","133","3.556","42.1","39.1","12.8","4.5",".","0.8","0.8",".",".",".",".",".",".",".",".","."
"","313
001","49","3.541","40.8","30.6","26.5",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"","002
313","63","3.500","33.3","39.7","22.2","3.2","1.6",".",".",".",".",".",".",".",".",".",".","."
"Manufacturing Processes","Course Total","112","3.518","36.6","35.7","24.1","1.8","1.8",".",".",".",".",".",".",".",".",".",".","."
"","314
001","54","2.926","14.8","22.2","20.4","22.2","18.5","1.9",".",".",".",".",".",".",".",".",".","."
"","002
314","54","2.972","14.8","25.9","16.7","24.1","18.5",".",".",".",".",".",".",".",".",".",".","."
"Manufacturing Fundamentals","Course Total","108","2.949","14.8","24.1","18.5","23.1","18.5","0.9",".",".",".",".",".",".",".",".",".","."
"Geom Modeling-Engr Applcatn","001
331","93","3.371","23.7","45.2","20.4","7.5","2.2",".","1.1",".",".",".",".",".",".",".",".","."
"Intro to Dynamic Systems","340
001","120","3.258","42.5","14.2","16.7","15.8","7.5","1.7","1.7",".",".",".",".",".",".",".",".","."
"","342
001","78","3.333","29.5","34.6","17.9","11.5","5.1","1.3",".",".",".",".",".",".",".",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","Page 144 of 435",""
