"LITERATURE IN TRANSLATION","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","","","",""
"19&20th C Russn Lit Tran II","202","001","","23","3.413","34.8","39.1","13.0",".","13.0",".",".",".",".",".",".",".",".",".",".","."
"19&20 C Russian Lit Tran II","204","001","","26","3.250","46.2","11.5","11.5","23.1",".","7.7",".",".",".",".",".",".",".",".",".","."
"Polish Lit Tran:14-Mid 19 C","215","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Chekhov in Translation","220","001","","14","3.462","50.0","14.3","7.1","14.3","7.1",".",".",".",".",".",".",".","7.1",".",".","."
"Dostoevsky in Translation","222","001","","30","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"V Nabokov: Russ&Amer Writng","223","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Manga","231","001","","34","3.045","23.5","17.6","26.5","14.7","11.8",".","2.9","2.9",".",".",".",".",".",".",".","."
"Soviet Life&Cult (1917 on)","234","001","","22","3.640","59.1","18.2","13.6","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"Bascom Crse-In Translation","236","001","","18","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Slavic Lit in Translatn","247","001","","7","3.071","28.6","28.6","14.3","14.3",".","14.3",".",".",".",".",".",".",".",".",".","."
"Lit Tran:19c Fr Mastrpieces","249","001","","27","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spanish Literature in Trans","252","001","","9","3.875","77.8",".","11.1",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Lt Tran:Dante-Divine Comedy","253","001","","36","3.394","44.4","11.1","13.9","16.7","5.6",".",".","2.8",".",".",".",".","5.6",".",".","."
"Survey-Chinese Lit in Trans","262","001","","14","3.429","50.0","28.6","14.3",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Survey-Japanese Lit in Tran","264","001","","9","2.833",".","44.4","33.3","11.1",".",".","11.1",".",".",".",".",".",".",".",".","."
"French Pop Culture","272","001","","18","3.472","50.0","16.7","27.8",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"","274","001","","41","3.037","7.3","34.1","24.4","26.8","7.3",".",".",".",".",".",".",".",".",".",".","."
"","274","002","","19","3.395","15.8","52.6","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Scand Lit in Tran-20th C","","Course Total","","60","3.173","10.0","40.0","25.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","275","001","","75","3.313","46.7","20.0","12.0","8.0","6.7","5.3","1.3",".",".",".",".",".",".",".",".","."
"","275","002","","61","3.557","55.7","23.0","9.8","6.6","3.3",".","1.6",".",".",".",".",".",".",".",".","."
"In Transl:Hans C. Andersen","","Course Total","","136","3.440","50.7","21.3","11.0","7.4","5.1","2.9","1.5",".",".",".",".",".",".",".",".","."
"Spec Tops in Ger & World Lit/s","276","001","","8","3.000",".","50.0","37.5",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"Yiddish Lit & Culture, America","279","001","","13","3.654","38.5","53.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Jewish Literature","318","001","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Scandinavian Literature","324","001","","25","3.946","88.0","4.0","4.0",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"Topics in Dutch Lit in Tran","326","001","","11","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Trans:Scand Topics in Depth","331","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"In Trans:Mythlgy-Scandnavia","342","001","","12","3.292","33.3","25.0","25.0",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Scand Decadence-European Cntxt","350","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fr&Ital Renaissance Lit Online","360","001","","64","3.177","18.8","32.8","29.7","10.9",".","1.6","3.1","3.1",".",".",".",".",".",".",".","."
"Machiavelli and His World","400","001","","28","3.685","50.0","39.3","3.6",".","3.6",".",".",".",".",".",".",".",".","3.6",".","."
