"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"","301
001","149","3.852","82.6","10.7","4.7","1.3",".",".","0.7",".",".",".",".",".",".",".",".","."
"","301
002","148","3.911","89.2","5.4","2.0",".","2.0",".",".",".",".",".",".",".","1.4",".",".","."
"Human Abilities & Learning","Course Total","297","3.881","85.9","8.1","3.4","0.7","1.0",".","0.3",".",".",".",".",".","0.7",".",".","."
"Human Dev-Infancy&Childhood","320
001","136","3.852","82.4","6.6","4.4","2.9",".","0.7",".","1.5",".",".",".",".",".",".","1.5","."
"","321
001","109","3.454","33.9","36.7","20.2","6.4","1.8","0.9",".",".",".",".",".",".",".",".",".","."
"","002
321","118","3.684","58.5","24.6","11.9","2.5","1.7",".",".",".",".",".",".",".","0.8",".",".","."
"Human Develop-Adolescence","Course Total","227","3.573","46.7","30.4","15.9","4.4","1.8","0.4",".",".",".",".",".",".","0.4",".",".","."
"Mind, Brain and Education","326
001","102","3.732","63.7","20.6","7.8","3.9","1.0",".",".","2.0",".",".",".",".","1.0",".",".","."
"Hum Devel Chldhood-Adolescn","331
001","91","3.516","36.3","44.0","13.2","4.4","1.1",".","1.1",".",".",".",".",".",".",".",".","."
"Behavior Analysis in Classrms","541
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quantitative Ethnography","551
001","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","013
699","7","3.867","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
014","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","699
025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
028","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
029","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
031","8","3.925","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
047","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","56","3.972","94.6","1.8","1.8",".",".",".",".",".",".",".",".",".","1.8",".",".","."
"Seminar-Research in Ed Psyc II","710
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
007","11","3.944","72.7","9.1",".",".",".",".",".","9.1",".",".",".",".","9.1",".",".","."
"","711
025","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
026","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
027","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics-Ed Psych","Course Total","54","3.986","94.4","1.9",".",".",".",".",".","1.9",".",".",".",".","1.9",".",".","."
"Intro to Qualitative Research","719
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adolescent Development","721
001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cog Assess-Children in Schools","740
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","761
001","37","3.833","70.3","21.6","5.4",".",".",".",".","2.7",".",".",".",".",".",".",".","."
"","761
002","34","3.956","91.2","8.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth-Applied to Ed II","Course Total","71","3.893","80.3","15.5","2.8",".",".",".",".","1.4",".",".",".",".",".",".",".","."
"Scaling, Factr&Cluster Anal","773
001","30","3.931","93.3",".",".",".","3.3",".",".",".",".",".",".",".","3.3",".",".","."
"Qual Rsch Mthds-Educ: Field II","789
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"MSPE Capstone","791
001","12","",".",".",".",".",".",".",".","91.7",".",".",".",".","8.3",".",".","."
"Intro to Learning Sciences II","796
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Surveys/Quant Data Collection","827
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","Page 100 of 435",""
