"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"","267
035","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
089","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
135","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
163","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Brass","Course Total","30","3.950","93.3","3.3","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Percussion","Course Total","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
016","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
071","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
083","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
171","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-String","Course Total","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Guitar","270
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","272
101","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","272
102","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","272
103","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 4","Course Total","20","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Music Education","300
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Music Learning and Teaching 2","302
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Fieldwork in Music Communities","303
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Great Composers","306
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Bl Mus-Voc/Tromb/Misc Instr","309
001","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Topics in Music & Ethnicity-US","319
001","89","3.208","10.1","42.7","33.7","7.9","4.5","1.1",".",".",".",".",".",".",".",".",".","."
"Jazz Improvisation","332
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Teaching Music","337
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Pedagogy","340
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Teaching Vocal Styles in Class","344
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-String Pedagogy","345
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","346
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","346
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Repertoire","Course Total","9","3.556","55.6","22.2",".","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"Wind Ensemble","40
001","28","3.964","96.4",".","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Concert Band","41
001","58","3.974","94.8","5.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey Music-Renaissance","412
001","24","3.696","50.0","33.3","12.5",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"Survey Music-Baroque Era","413
001","20","3.105","35.0","15.0","20.0","5.0","15.0",".","5.0","5.0",".",".",".",".",".",".",".","."
"Varsity Band","42
001","270","3.993","98.5","1.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Pop Inst Music 2","421
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","43
001","95","4.000","98.9",".",".",".",".",".",".","1.1",".",".",".",".",".",".",".","."
"","43
002","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","43
003","55","3.991","98.2","1.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"University Band","Course Total","184","3.997","98.9","0.5",".",".",".",".",".","0.5",".",".",".",".",".",".",".","."
