"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","",""
"VET","","","","","","","","","","","","","","","","","","","","","",""
"VET","College Total","3607","3.530","36.5","8.8","11.9","2.1","1.9","0.1","",".","34.3","",".",".","",".","0.3","3.9",".","0.0","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"VET","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"Sophomore","","13","3.274","61.5",".","15.4","7.7","15.4",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","27","3.797","92.6",".",".",".","7.4",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","","32","3.719","75.0","9.4","12.5",".","3.1",".","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","72","3.665","79.2","4.2","8.3","1.4","6.9",".","",".",".","",".",".","",".",".",".",".",".","."
"Special","","19","",".",".",".",".",".",".","",".","100.0","",".",".","",".",".",".",".",".","."
"Graduate","","62","3.625","9.7",".","6.5",".",".",".","",".","66.1","",".",".","",".","17.7",".",".",".","."
"Prof Yr 1","","865","3.499","32.4","12.3","19.7","1.7","1.4",".","",".","27.6","",".",".","",".",".","5.0",".",".","."
"Prof Yr 2","","779","3.440","39.3","12.6","15.9","4.7","4.2","0.4","",".","11.9","",".",".","",".",".","10.9",".",".","."
"Prof Yr 3","","929","3.423","31.2","11.9","13.7","2.3","2.2","0.2","",".","37.0","",".",".","",".",".","1.4",".","0.1","."
"Prof Yr 4","","881","4.000","43.0",".",".",".",".",".","",".","56.9","",".",".","",".","0.1",".",".",".","."
"Professionals","","3454","3.525","36.3","9.1","12.2","2.1","1.9","0.1","",".","34.1","",".",".","",".","0.0","4.1",".","0.0","."
"","College Total","3607","3.530","36.5","8.8","11.9","2.1","1.9","0.1","",".","34.3","",".",".","",".","0.3","3.9",".","0.0","."
