"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"","155
001","18","3.611","38.9","44.4","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
002","17","3.441","47.1","35.3","5.9","5.9",".",".","5.9",".",".",".",".",".",".",".",".","."
"","003
155","9","3.444","11.1","66.7","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
004","17","3.235","11.8","47.1","23.5","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","005
155","15","3.533","40.0","33.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","155
006","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
155","18","3.500","22.2","55.6","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
008","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
009","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
010","10","3.050","20.0","50.0","10.0",".","10.0",".","10.0",".",".",".",".",".",".",".",".","."
"Basic Communication","Course Total","153","3.601","51.0","31.4","12.4","2.6","1.3",".","1.3",".",".",".",".",".",".",".",".","."
"Teams & Engr Profession","001
265","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
001","12","3.625","33.3","58.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
002","17","3.588","17.6","82.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
275","19","3.737","52.6","42.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
275","18","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
275","15","3.133","20.0","13.3","46.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","275
006","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
275","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
275","18","3.444","27.8","33.3","38.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Presentations","Course Total","132","3.644","49.2","33.3","15.2","1.5","0.8",".",".",".",".",".",".",".",".",".",".","."
"","332
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","332
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Basic Technical Japanese II","Course Total","3","***","","","","","","","","","","","","","","","",""
"","375
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermed Tech Japanese II","Course Total","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bus Japanese Communication","377
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","397
001","18","3.528","16.7","72.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
002","21","3.325","19.0","23.8","52.4",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"","397
003","20","3.550","25.0","60.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
004","20","3.225","20.0","25.0","50.0",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"","005
397","19","3.500","26.3","47.4","15.8","5.3",".",".",".",".",".",".",".",".","5.3",".",".","."
"","397
006","20","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
397","22","3.568","40.9","31.8","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
008","19","3.528","36.8","31.6","21.1","5.3",".",".",".",".",".",".",".",".","5.3",".",".","."
"","397
009","20","3.625","45.0","35.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
010","18","3.556","50.0","44.4",".",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"","397
011","19","3.368","15.8","52.6","21.1","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","397
012","19","3.342","5.3","57.9","36.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
013","19","3.447","42.1","36.8","15.8",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","397
014","20","3.525","25.0","60.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","015
397","22","3.545","27.3","54.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
016","20","3.475","35.0","25.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
017","20","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","Page 136 of 435",""
