"LAFOLLETTE SCHOOL PUB AFF Section","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","","","","","","",""
"724
001
Soft Power in Europe and U.S.","1","***","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"802
001
Public Affairs Seminar Series","5","***","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"810
001
Energy Analysis Seminar","3","***","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"819
001
Adv Stat Meths-Pub Pol Anal","27","3.385","25.9","29.6","33.3","7.4","",".","",".","",".",".",".","",".",".","",".","","",".",".","3.7","."
"827
001
Administrative Internship","3","***","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"856
001
Trade, Competition&Governance","13","3.538","38.5","30.8","30.8",".","",".","",".","",".",".",".","",".",".","",".","","",".",".",".","."
"860
001
Workshop-Int'l Public Affairs","8","3.813","62.5","37.5",".",".","",".","",".","",".",".",".","",".",".","",".","","",".",".",".","."
"864
001
Health Policy&Policy Design","13","3.769","69.2","23.1",".","7.7","",".","",".","",".",".",".","",".",".","",".","","",".",".",".","."
"869
001","12","4.000","100.0",".",".",".","",".","",".","",".",".",".","",".",".","",".","","",".",".",".","."
"869
002","12","4.000","100.0",".",".",".","",".","",".","",".",".",".","",".",".","",".","","",".",".",".","."
"Course Total
Workshop in Public Affairs","24","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"873
001","21","3.881","76.2","23.8",".",".","",".","",".","",".",".",".","",".",".","",".","","",".",".",".","."
"002
873","17","3.794","64.7","29.4","5.9",".","",".","",".","",".",".",".","",".",".","",".","","",".",".",".","."
"Course Total
Intro to Policy Analysis","38","3.842","71.1","26.3","2.6",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"874
001
Policy-Making Process","32","3.844","68.8","31.3",".",".","",".","",".","",".",".",".","",".",".","",".","","",".",".",".","."
"890
001
Fed Budget&Tax Policy&Admin","12","3.833","75.0","16.7","8.3",".","",".","",".","",".",".",".","",".",".","",".","","",".",".",".","."
"895
001
Performance Management","28","3.875","78.6","17.9","3.6",".","",".","",".","",".",".",".","",".",".","",".","","",".",".",".","."
"974
001","11","3.727","54.5","36.4","9.1",".","",".","",".","",".",".",".","",".",".","",".","","",".",".",".","."
"004
974","13","3.917","76.9","15.4",".",".","",".","",".","",".","7.7",".","",".",".","",".","","",".",".",".","."
"Course Total
Topics in Public Affairs","24","3.826","66.7","25.0","4.2",".","",".","",".","",".","4.2","",".",".","",".","",".","",".",".",".","."
"PUB AFFR
Dept. Total
826","231","3.787","64.9","22.1","7.4","1.3","",".","",".","",".","3.9","",".",".","",".","",".","",".",".","0.4","."
"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","7","3.714","57.1","28.6","14.3",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","7","3.714","57.1","28.6","14.3",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","3","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","203","3.802","66.5","21.7","5.9","1.5","",".","",".","",".","3.9","",".",".","",".","",".","",".",".","0.5","."
"Prof Yr 1","6","3.333","16.7","33.3","50.0",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","5","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 4","7","3.929","85.7","14.3",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","18","3.618","44.4","27.8","22.2",".","",".","",".","",".","5.6","",".",".","",".","",".","",".",".",".","."
"Dept. Total","231","3.787","64.9","22.1","7.4","1.3","",".","",".","",".","3.9","",".",".","",".","",".","",".",".","0.4","."
