"L&S","","","","","","","","","","","","","","","","","","","","",""
"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"STAT
932","Dept. Total","2800","3.286","38.5","21.2","20.1","7.1","6.3","2.9","1.3","1.9","",".","0.1","",".","0.5","0.1","0.1","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","91","3.286","35.2","23.1","19.8","12.1","8.8",".","1.1",".","",".",".","",".",".",".",".",".","."
"Sophomore","","458","3.132","27.1","24.9","25.5","9.4","6.6","4.6","2.0",".","",".",".","",".",".",".",".",".","."
"Junior","","921","3.214","35.6","19.4","23.3","9.1","7.8","3.6","1.0",".","",".","0.1","",".",".",".",".",".","."
"Senior","","674","3.187","38.7","19.3","18.4","7.6","9.1","3.6","2.1","0.7","",".","0.1","",".",".","0.1","0.1",".","0.1"
"Undergraduates","","2144","3.191","34.7","20.7","22.1","8.8","8.0","3.6","1.5","0.2","",".","0.1","",".",".","0.0","0.0",".","0.0"
"Special","","199","3.587","50.8","31.7","12.1","2.5","0.5","0.5","1.0","0.5","",".",".","",".",".","0.5",".",".","."
"Graduate","","457","3.633","51.0","18.8","14.0","0.9","0.7","0.2","0.4","10.1","",".",".","",".","3.1","0.2","0.2","0.4","."
"","Dept. Total","2800","3.286","38.5","21.2","20.1","7.1","6.3","2.9","1.3","1.9","",".","0.1","",".","0.5","0.1","0.1","0.1","0.0"
