"Summary by Level","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"PORTUG","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","4","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Sophomore","","10","3.816","70.0","20.0","10.0",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","18","3.456","44.4","22.2","22.2","5.6","5.6","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","23","3.631","52.2","30.4","8.7","4.3","4.3","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","55","3.568","50.9","25.5","14.5","3.6","5.5","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Special","","4","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Graduate","","32","3.815","59.4","15.6","3.1","3.1",".","",".","",".","15.6","",".",".","",".","3.1","",".",".",".","."
"Prof Yr 2","","1","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Professionals","","2","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
