"MICROBIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","",""
"General Microbiology","101
001","406","3.216","35.7","14.8","25.1","10.1","11.8","2.0","0.2",".",".",".",".",".",".","0.2",".","."
"","102
001","42","3.286","28.6","14.3","47.6","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","102
002","41","3.573","41.5","36.6","19.5",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"","003
102","42","3.439","35.7","31.0","19.0","7.1","4.8",".",".",".",".",".",".",".","2.4",".",".","."
"","004
102","41","3.293","26.8","31.7","26.8","2.4","12.2",".",".",".",".",".",".",".",".",".",".","."
"General Microbiology Lab","Course Total","166","3.397","33.1","28.3","28.3","3.6","6.0",".",".",".",".",".",".",".","0.6",".",".","."
"","299
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
030","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
034","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
061","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
071","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
091","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
097","10","3.705","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","22","3.848","72.7","22.7","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms","303
001","274","3.192","29.6","18.6","28.1","13.9","7.3","2.2","0.4",".",".",".",".",".",".",".",".","."
"","304
001","37","3.270","29.7","13.5","40.5","13.5","2.7",".",".",".",".",".",".",".",".",".",".","."
"","304
002","40","3.213","27.5","10.0","45.0","12.5","5.0",".",".",".",".",".",".",".",".",".",".","."
"","304
003","37","3.365","35.1","8.1","51.4","5.4",".",".",".",".",".",".",".",".",".",".",".","."
"","004
304","36","3.167","33.3","5.6","41.7","11.1","2.8","5.6",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms Lab","Course Total","150","3.253","31.3","9.3","44.7","10.7","2.7","1.3",".",".",".",".",".",".",".",".",".","."
"","305
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
305","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
003","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
004","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Critical Analyses-Microbiology","Course Total","61","3.975","95.1","4.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Host-Parasite Interactions","330
001","72","3.167","43.1","9.7","23.6","4.2","11.1","6.9","1.4",".",".",".",".",".",".",".",".","."
"Special Topics","375
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","450
001","32","3.145","25.0","18.8","37.5","3.1","6.3","6.3",".",".","3.1",".",".",".",".",".",".","."
"","002
450","49","3.286","24.5","22.4","42.9","6.1","4.1",".",".",".",".",".",".",".",".",".",".","."
"Divrsty, Ecol&Evolutn-Microorg","Course Total","81","3.231","24.7","21.0","40.7","4.9","4.9","2.5",".",".","1.2",".",".",".",".",".",".","."
"","470
001","21","2.571","4.8","14.3","28.6","23.8","19.0","4.8","4.8",".",".",".",".",".",".",".",".","."
"","002
470","59","2.737","16.9","15.3","22.0","15.3","15.3","8.5","3.4",".","1.7",".",".",".","1.7",".",".","."
"Micro Genetics & Mol Machines","Course Total","80","2.692","13.8","15.0","23.8","17.5","16.3","7.5","3.8",".","1.3",".",".",".","1.3",".",".","."
"Soil Microbiology & Biochem","523
001","14","3.286","21.4","21.4","50.0","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Physiol of Microorganisms","526
002","37","3.230","27.0","29.7","24.3","10.8","5.4",".","2.7",".",".",".",".",".",".",".",".","."
"Topics in Biotechnology","545
001","38","3.934","89.5","7.9","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","551
001","29","3.621","55.2","27.6","13.8",".",".","3.4",".",".",".",".",".",".",".",".",".","."
"","002
551","26","3.640","65.4","15.4","7.7",".","3.8","3.8",".",".",".",".",".",".","3.8",".",".","."
"","551
003","29","3.679","58.6","13.8","24.1",".",".",".",".",".",".",".",".",".","3.4",".",".","."
"","004
551","15","3.833","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiol Dvrsty-Procryot Lab","Course Total","99","3.675","61.6","19.2","14.1",".","1.0","2.0",".",".",".",".",".",".","2.0",".",".","."
"Senior Honors Thesis","682
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","","Page 10 of 435"
