"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"","801
101","12","3.962","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
801","12","3.959","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
103","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
801","13","3.746","69.2","15.4","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","801
201","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
202","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
801","12","3.627","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
801","13","3.933","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr IV","Course Total","177","3.933","89.3","6.2","3.4","0.6",".",".",".",".",".",".",".",".",".",".","0.6","."
"","821
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
821","12","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","020
821","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Aging and Mental Health","Course Total","34","3.794","76.5","5.9","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Law: Marriage & Divorce","822
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mental Hlth Policies&Services","836
001","31","3.806","71.0","19.4","9.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
001","25","3.860","76.0","20.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
840","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
010","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","011
840","17","3.824","64.7","35.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","012
840","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
020","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
021","20","3.675","45.0","45.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Macro Practice","Course Total","128","3.859","75.0","21.9","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Crises Intervention-Soc Wrk","854
001","17","3.794","58.8","41.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Recent Developmnts-Soc Work","861
001","12","4.000","75.0",".",".",".",".",".",".",".",".",".",".",".",".",".","25.0","."
"Assessing and Treating Adults","870
001","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Work Practice in Hlth Care","873
001","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","924
001","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","924
030","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Problems & Soc Work","Course Total","26","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","929
001","24","3.957","87.5","8.3",".",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"","929
010","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","929
011","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","929
020","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Work & Substance Abuse","Course Total","58","3.877","75.9","20.7","1.7",".",".",".",".",".",".",".",".",".","1.7",".",".","."
"Student Research Seminar","947
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar","948
001","8","3.786","50.0","37.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"PhD Proseminar","951
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
031","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis-Research","Course Total","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","999
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","Page 323 of 435",""
