"COMMUNICATION ARTS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"","313","001","30","3.467","20.0","53.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313","002","60","3.017","8.3","33.3","35.0","13.3","5.0","3.3","1.7",".",".",".",".",".",".",".",".","."
"","313","003","93","3.168","8.6","43.0","29.0","14.0","3.2",".","1.1","1.1",".",".",".",".",".",".",".","."
"Topics: Film and Media Studies","","Course Total","183","3.168","10.4","41.5","30.6","11.5","3.3","1.1","1.1","0.5",".",".",".",".",".",".",".","."
"Mass Media & Human Behavior","325","001","77","2.961","14.3","18.2","35.1","18.2","9.1","2.6","1.3","1.3",".",".",".",".",".",".",".","."
"Critical Internet Studies","346","001","93","3.129","9.7","39.8","31.2","11.8","5.4","1.1","1.1",".",".",".",".",".",".",".",".","."
"Race, Ethnicity, and Media","347","001","21","3.425","23.8","42.9","19.0","9.5",".",".",".",".",".",".",".",".",".",".",".","4.8"
"Introduction to Film","350","001","137","3.092","22.6","23.4","29.9","8.8","4.4","0.7","5.1","3.6",".",".",".",".","0.7",".",".","0.7"
"Television Industries","351","001","148","2.997","10.8","20.3","37.8","19.6","6.8","1.4","0.7","0.7",".",".",".",".","1.4",".",".","0.7"
"Film History Since 1960","353","001","52","3.153","7.7","40.4","30.8","11.5","1.9",".","1.9","1.9",".",".",".",".","3.8",".",".","."
"Intro to Media Production","355","001","125","3.114","8.8","32.8","41.6","8.8","4.0","1.6","0.8","1.6",".",".",".",".",".",".",".","."
"History of Animated Film","357","001","94","3.070","11.7","27.7","33.0","20.2","4.3","2.1",".","1.1",".",".",".",".",".",".",".","."
"Quantitatve Rsch-Communictn","361","001","88","3.023","18.2","26.1","19.3","19.3","12.5",".","2.3",".",".",".",".",".","2.3",".",".","."
"Thry&Practice of Persuasion","368","001","111","3.018","18.9","18.9","28.8","17.1","14.4","1.8",".",".",".",".",".",".",".",".",".","."
"Great Speakers and Speeches","370","001","113","3.165","22.1","27.4","22.1","17.7","8.8","0.9",".","0.9",".",".",".",".",".",".",".","."
"Sound Cultures/Podcasting","449","001","20","3.225",".","45.0","55.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cultural Hist of Broadcasting","450","001","40","3.438","22.5","50.0","22.5","2.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"Television Criticism","451","001","56","3.143","14.3","35.7","28.6","7.1","14.3",".",".",".",".",".",".",".",".",".",".","."
"Russian and Soviet Film","456","001","23","3.091","34.8","13.0","21.7","13.0","4.3","4.3","4.3",".",".",".",".",".","4.3",".",".","."
"Avant-Garde Film","463","001","16","3.233","43.8","18.8","18.8",".",".","6.3","6.3","6.3",".",".",".",".",".",".",".","."
"","465","001","16","3.781","56.3","43.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","465","002","15","3.714","46.7","40.0","6.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Editing & Post-prod:Video&Film","","Course Total","31","3.750","51.6","41.9","3.2",".",".",".",".","3.2",".",".",".",".",".",".",".","."
"Writing for TV & Film","466","001","15","3.567","33.3","46.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cinematography & Sound Rcrdng","467","001","15","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rhetoric and Technology","472","001","92","2.844","7.6","30.4","20.7","15.2","17.4","6.5",".",".",".",".",".",".","1.1",".",".","1.1"
"Nature of Criticism","476","001","36","3.614","61.1","19.4","8.3",".","5.6","2.8",".",".",".",".",".",".","2.8",".",".","."
"","522","001","13","3.423","15.4","53.8","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","522","002","12","3.458","8.3","75.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digitally Doc Everyday Comm","","Course Total","25","3.440","12.0","64.0","24.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Communicatn in Complex Orgs","575","001","40","3.400","32.5","35.0","15.0","15.0","2.5",".",".",".",".",".",".",".",".",".",".","."
"Dynamics of Online Relatnshps","577","001","22","2.795","9.1","13.6","27.3","27.3","22.7",".",".",".",".",".",".",".",".",".",".","."
"Topics-Rhetoric&Pub Address","610","001","16","3.594","62.5","6.3","25.0",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Field Exper in Communicatn","614","028","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Adv Motion Pic Prod Wkshp","659","001","16","3.594","37.5","56.3",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Film Theory","665","001","15","3.786","66.7","13.3","13.3",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","699","028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","033","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","040","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","045","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","","Page 200 of 435",""
