"GERMAN","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","","",""
"325
Topics in Dutch Literature","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"337
Adv Compositn & Conversatn","001","","20","3.105","15.0","30.0","25.0","10.0","15.0",".",".",".",".",".",".",".","5.0",".",".","."
"352
Topics-German Linguistics","001","","18","3.794","83.3","5.6",".",".",".","5.6",".","5.6",".",".",".",".",".",".",".","."
"362
Topics in German Literature","001","","21","3.619","57.1","28.6","9.5",".",".","4.8",".",".",".",".",".",".",".",".",".","."
"372","001","","22","3.750","59.1","31.8","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"372","002","","18","3.722","83.3","11.1",".",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"Topics in German Culture","Course Total","","40","3.738","70.0","22.5","5.0",".",".",".","2.5",".",".",".",".",".",".",".",".","."
"385
Honors Seminar-German Lit","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"392
German for Grad Reading II","001","","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"401","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"401","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Sem German for Grad Stdts","Course Total","","2","***","","","","","","","","","","","","","","","",""
"402","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"402","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"402","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"402","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"402","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"2nd Sem German for Grad Stdts","Course Total","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"403
3rd Sem German for Grad Stdts","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"404","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"404","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"404","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"4th Sem German for Grad Stdts","Course Total","","5","***","","","","","","","","","","","","","","","",""
"625
Letterkunde der Lage Landen","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"651
Intro to Middle High German","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"677
Smr-German Culture Studies","001","","9","3.786","55.6","11.1","11.1",".",".",".",".",".",".",".",".",".","22.2",".",".","."
"682
Sr Honors Thesis-2nd Sem","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"727
Topics-Applied Linguistics","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"758
Topics-Contemporary German","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"799
Independent Study","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"804
Interdis W Europ Studies Sm","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"948
Seminar-German Lit & Culture","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"960
Seminar-German Linguistics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research in Lit","Course Total","","8","",".",".",".",".",".",".",".","37.5",".",".",".","62.5",".",".",".","."
"991","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","","Page 240 of 435",""
