"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"Intro-Mus Cult of the World","103
001","105","3.657","60.0","20.0","6.7","2.9","2.9","1.9",".","5.7",".",".",".",".",".",".",".","."
"Opera","105
001","79","3.580","67.1","2.5","13.9","3.8","5.1","1.3","1.3","5.1",".",".",".",".",".",".",".","."
"Music & Film","107
001","19","3.333","21.1","47.4","10.5","5.3","10.5",".",".","5.3",".",".",".",".",".",".",".","."
"","113
001","717","3.971","97.8","1.1",".",".","0.7","0.1","0.1",".",".",".",".",".",".",".","0.1","."
"","003
113","676","3.897","88.5","7.5","2.2",".","1.3","0.1","0.3",".",".",".",".",".",".",".",".","."
"","113
004","40","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Music in Performance","Course Total","1433","3.935","90.6","4.1","1.0",".","1.0","0.1","0.2","2.8",".",".",".",".",".",".","0.1","."
"","122
001","15","3.433","26.7","33.3","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","122
002","21","3.381","19.0","42.9","33.3","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Practica 2","Course Total","36","3.403","22.2","38.9","36.1","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"","001
151","35","3.514","65.7","11.4","11.4","5.7",".",".","5.7",".",".",".",".",".",".",".",".","."
"","002
151","59","3.500","44.1","28.8","13.6","5.1","6.8",".",".",".","1.7",".",".",".",".",".",".","."
"Basic Concepts-Music Theory","Course Total","94","3.505","52.1","22.3","12.8","5.3","4.3",".","2.1",".","1.1",".",".",".",".",".",".","."
"Basic Concepts of Music 2","152
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","172
101","8","3.125",".","50.0","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","102
172","7","3.357","14.3","57.1","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","172
103","10","3.350",".","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","172
104","11","3.318","9.1","45.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 2","Course Total","36","3.292","5.6","55.6","33.3","2.8","2.8",".",".",".",".",".",".",".",".",".",".","."
"Music and Society","201
001","31","3.617","58.1","16.1","12.9","6.5","3.2",".",".","3.2",".",".",".",".",".",".",".","."
"The Legendary Performers","206
001","300","3.547","34.3","38.3","14.0","3.3","1.7",".",".","8.0",".",".",".",".",".","0.3",".","."
"Survey-Hist Western Music","212
001","35","3.235","31.4","17.1","37.1",".","5.7","5.7",".","2.9",".",".",".",".",".",".",".","."
"Musica Practica 4","222
001","20","3.475","35.0","35.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Jazz Theory & Composition","229
001","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro. Conducting and Pedagogy","252
001","13","3.731","61.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","254
022","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","254
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Conducting","Course Total","5","***","","","","","","","","","","","","","","","",""
"University Opera","256
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Opera Workshop","257
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
041","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
050","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
096","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
101","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
196","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
296","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","45","3.978","95.6","4.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
002","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble: Wisconsin Singers","Course Total","38","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Woodwind","265
032","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Black Music Ensemble","266
001","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
020","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","Page 285 of 435",""
