"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"","300
001","25","3.780","64.0","28.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","26","3.885","80.8","15.4","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
003","25","3.780","56.0","44.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
004","25","3.840","72.0","24.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
300","27","3.981","96.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
300","26","3.731","57.7","38.5",".",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"","300
007","25","3.880","76.0","24.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
008","28","3.732","71.4","25.0",".",".",".",".","3.6",".",".",".",".",".",".",".",".","."
"","009
300","27","3.778","81.5","14.8",".",".",".",".","3.7",".",".",".",".",".",".",".",".","."
"","300
010","27","3.852","77.8","14.8","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","011
300","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","012
300","26","3.673","57.7","26.9","11.5",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"","300
013","25","3.700","44.0","52.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","014
300","27","3.852","77.8","18.5",".","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","300
015","27","3.907","81.5","18.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
016","26","3.750","61.5","26.9","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
017","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Communication","Course Total","441","3.827","73.2","22.7","2.9","0.2","0.5",".","0.5",".",".",".",".",".",".",".",".","."
"Business Law","301
001","490","3.047","13.7","19.2","41.4","15.5","9.0","0.6","0.2","0.4",".",".",".",".",".",".",".","."
"","302
001","31","3.565","48.4","22.6","22.6","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"","002
302","34","3.544","50.0","11.8","35.3","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Bus Orgs&Negotiable Instrumnts","Course Total","65","3.554","49.2","16.9","29.2","4.6",".",".",".",".",".",".",".",".",".",".",".","."
"Acctg&Finance - Non-Bus Majors","310
010","283","3.182","18.0","27.6","37.1","9.2","2.8","0.7","1.8","2.5",".",".",".",".",".",".","0.4","."
"Mgmt & Mrktg Non-Bus Majors","311
010","50","3.469","42.0","26.0","24.0","2.0","2.0",".","2.0",".","2.0",".",".",".",".",".",".","."
"Intercultural Communctn in Bus","320
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
060","86","3.180","15.1","34.9","27.9","17.4","3.5","1.2",".",".",".",".",".",".",".",".",".","."
"","365
061","126","3.099","10.3","34.9","32.5","15.1","4.8","1.6","0.8",".",".",".",".",".",".",".",".","."
"","365
062","116","3.138","10.3","38.8","28.4","12.9","9.5",".",".",".",".",".",".",".",".",".",".","."
"","070
365","93","3.086","14.0","29.0","36.6","9.7","7.5","2.2","1.1",".",".",".",".",".",".",".",".","."
"","365
071","85","3.194","10.6","42.4","31.8","10.6","2.4","2.4",".",".",".",".",".",".",".",".",".","."
"","072
365","96","3.172","20.8","31.3","29.2","9.4","5.2","3.1","1.0",".",".",".",".",".",".",".",".","."
"","365
073","116","3.056","7.8","13.8","66.4","7.8","3.4","0.9",".",".",".",".",".",".",".",".",".","."
"","074
365","121","3.029","7.4","10.7","66.1","11.6","4.1",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","839","3.113","11.7","28.7","41.0","11.8","5.1","1.3","0.4",".",".",".",".",".",".",".",".","."
"Prof Experience in Business","450
001","11","",".",".",".",".",".",".",".",".",".","90.9","9.1",".",".",".",".","."
"Prof Exp Bus-Extended Intrnshp","451
001","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Managerial Communication","700
030","60","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managing Legal Risks","701
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Experience in Business","750
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
030","35","3.814","68.6","25.7","5.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
030","46","3.554","30.4","50.0","19.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","030
765","59","3.525","20.3","64.4","15.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","140","3.630","35.7","50.0","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
031","37","3.595","62.2","24.3","5.4","2.7",".","2.7","2.7",".",".",".",".",".",".",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","","Page 53 of 435"
