"COMMUNICATION SCI & DISORD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"252
CS&D","","","","","","","","","","","","","","","","","","","",""
"799","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","095","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"832
Pediatric Audiology","001","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"836
Pediat Habilitatn/Rehabilitatn","001","","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"849
Geriatric Audiol: Diag & Rehab","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"856
Amplification Systems I","001","","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"857
Lab in Amplification Systems I","001","","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"858
Physiolog Assess Audiology I","001","","14","3.654","50.0","21.4","21.4",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"859
Lab-Physiol Assess Aud Sys I","001","","14","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"862
Auditory & Vestibular Path II","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"866
Amplification Systems II","001","","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"867
School Mthds for Audiologists","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"891
Clerkship in Audiology I","001","","13","3.800","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"892
Clerkship in Audiology II","001","","13","3.905","69.2",".","7.7",".",".",".",".",".",".",".",".",".","23.1",".",".","."
"893
Clerkship in Audiology III","001","","9","3.893","44.4","11.1",".",".",".",".",".",".",".",".",".",".","44.4",".",".","."
"894
Externship in Audiology","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"899","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","013","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"899","023","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"899","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","046","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"899","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","061","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"899","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Capstone Study in Audiology","Course Total","","22","3.936","77.3","13.6","4.5",".",".",".",".",".",".",".",".",".",".","4.5",".","."
"900
Seminar-Speech Science","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"913
Smr-Prob in Voice Disorders","001","","8","3.643","50.0","12.5","25.0",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"921
Smr-Prob in Audiology","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","21","",".",".",".",".",".",".",".","95.2",".",".",".","4.8",".",".",".","."
"999","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","","Page 204 of 435",""
