"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"990","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis Research","Course Total","","11","",".",".",".",".",".",".",".","72.7",".",".",".","27.3",".",".",".","."
"999","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","075","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","078","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","096","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","22","4.000","77.3",".",".",".",".",".",".","22.7",".",".",".",".",".",".",".","."
"NURSING
692","Dept. Total","","1860","3.722","59.2","17.0","9.2","2.3","0.5","0.1",".","2.3",".","9.2",".","0.2",".",".","0.1","."
