"DANCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","",""
"","1
001","43","3.893","93.0","2.3",".",".",".",".","2.3","2.3",".",".",".",".",".",".",".","."
"","002
1","43","3.988","97.7","2.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","1
003","33","3.726","75.8","9.1",".","6.1",".",".","3.0","3.0",".",".",".",".","3.0",".",".","."
"","1
004","36","3.786","75.0","13.9","2.8",".","5.6",".",".","2.8",".",".",".",".",".",".",".","."
"","1
005","34","3.721","79.4","8.8","5.9",".","2.9",".","2.9",".",".",".",".",".",".",".",".","."
"Workshop in Dance Activity","Course Total","189","3.835","85.2","6.9","1.6","1.1","1.6",".","1.6","1.6",".",".",".",".","0.5",".",".","."
"","112
001","24","3.896","91.7","4.2",".",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","112
002","17","3.857","58.8","23.5",".",".",".",".",".","11.8",".",".",".",".","5.9",".",".","."
"Cont Dance Technique&Theory II","Course Total","41","3.887","78.0","12.2",".",".","2.4",".",".","4.9",".",".",".",".","2.4",".",".","."
"","118
001","42","3.940","95.2",".","2.4","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","118
002","39","3.987","97.4","2.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"African Dance","Course Total","81","3.963","96.3","1.2","1.2","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Dance II","12
001","15","3.833","80.0","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Asian American Movement","121
001","19","3.684","63.2","10.5","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique I-B","126
001","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Somatic Theory and Practices","131
001","27","3.520","55.6","14.8","14.8",".","3.7",".","3.7",".","3.7",".",".",".","3.7",".",".","."
"","135
001","34","4.000","97.1",".",".",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"","135
002","34","3.485","55.9","23.5","5.9",".","2.9","8.8",".","2.9",".",".",".",".",".",".",".","."
"","003
135","30","3.650","70.0","16.7","6.7",".","3.3",".","3.3",".",".",".",".",".",".",".",".","."
"","004
135","35","3.773","65.7","17.1","8.6","2.9",".",".",".","5.7",".",".",".",".",".",".",".","."
"Pilates Mat I","Course Total","133","3.729","72.2","14.3","5.3","0.8","1.5","2.3","0.8","3.0",".",".",".",".",".",".",".","."
"Dance Production","140
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Movemnt as Matl Thru Improv","156
001","19","4.000","94.7",".",".",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"Intro-Movement Analysis","157
001","20","3.925","90.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Collaborative Arts Workshop","159
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","165
001","30","3.533","43.3","26.7","23.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","165
002","18","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"World Dance Cultures","Course Total","48","3.604","47.9","29.2","18.8","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","2
001","39","3.895","82.1","10.3","5.1",".",".",".",".","2.6",".",".",".",".",".",".",".","."
"","002
2","44","3.829","79.5","6.8","2.3","2.3",".","2.3",".","2.3",".",".",".",".","4.5",".",".","."
"","2
003","38","3.882","84.2","7.9","7.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballroom Dance I","Course Total","121","3.868","81.8","8.3","5.0","0.8",".","0.8",".","1.7",".",".",".",".","1.7",".",".","."
"","212
001","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
002","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Dance Tech & Th IV","Course Total","29","3.826","72.4","24.1","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet II","22
001","13","3.750","69.2","15.4",".",".","7.7",".",".","7.7",".",".",".",".",".",".",".","."
"","226
001","23","3.735","52.2","34.8","8.7",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"","226
002","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique II-B","Course Total","32","3.767","62.5","25.0","9.4",".",".",".",".",".",".",".",".",".","3.1",".",".","."
"Dance Production Laboratory","240
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Collaborative Arts Perform Lab","259
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballroom Dance II","3
001","30","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Dance Tech & Th VI","312
001","10","3.833","80.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","Page 104 of 435",""
