"ANIMAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"604
AN SCI","","","","","","","","","","","","","","","","","","","",""
"110
Animal Handling","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"150
Career Orientation An/Poul Sci","001","","18","3.944","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"200
Biol&Apprec-Companion Anmls","001","","130","3.219","33.1","26.2","13.1","14.6","10.0","2.3","0.8",".",".",".",".",".",".",".",".","."
"221
Adv Meat Animal Eval Lab","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","13","3.909","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"305
Intro-Meat Sci & Technology","001","","37","3.068","27.0","16.2","29.7","2.7","21.6","2.7",".",".",".",".",".",".",".",".",".","."
"311
Comparative Animal Nutritn","001","","40","3.200","40.0","12.5","15.0","22.5","7.5",".","2.5",".",".",".",".",".",".",".",".","."
"313
Animal Feeds&Diet Formulatn","001","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"320
Animal Health & Disease Mgt","001","","41","3.756","78.0",".","19.5",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"321
Food Laws and Regulations","001","","8","3.563","25.0","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"361
Intro to Animal & Vet Genetics","001","","45","3.033","35.6","8.9","26.7","2.2","17.8","8.9",".",".",".",".",".",".",".",".",".","."
"362
Veterinary Genetics","001","","28","3.125","35.7","10.7","28.6","14.3","3.6","3.6","3.6",".",".",".",".",".",".",".",".","."
"363
Principles of Animal Breeding","001","","16","3.156","37.5",".","43.8","6.3","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"373
Animal Physiology","001","","38","2.934","26.3","7.9","31.6","10.5","15.8","7.9",".",".",".",".",".",".",".",".",".","."
"375","001","","22","3.955","95.5",".","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","004","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","39","3.967","97.4",".","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","2","***","","","","","","","","","","","","","","","",""
"430
Sheep Production","001","","33","3.864","84.8","3.0","12.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"432
Swine Production","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"433
Equine Business & Management","001","","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"520
Ornithology","001","","14","2.500","14.3","14.3","35.7",".","14.3","7.1","14.3",".",".",".",".",".",".",".",".","."
"521","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"521","002","","7","3.500","42.9","14.3","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"521","003","","7","3.667","42.9","28.6","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"521","004","","8","2.938","25.0","25.0",".","37.5",".","12.5",".",".",".",".",".",".",".",".",".","."
"Birds of Southern Wisconsin","Course Total","","26","3.380","38.5","23.1","19.2","11.5",".","3.8",".","3.8",".",".",".",".",".",".",".","."
"699","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","","","Page 37 of 435"
