"","COMMUNICATION SCI & DISORD Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"252
CS&D","","","","","","","","","","","","","","","","","","","",""
"","110","001","72","3.472","22.2","56.9","15.3","4.2","1.4",".",".",".",".",".",".",".",".",".",".","."
"","110","002","12","3.542","25.0","58.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Communicative Dis","","Course Total","84","3.482","22.6","57.1","15.5","3.6","1.2",".",".",".",".",".",".",".",".",".",".","."
"Speech Science","201","001","73","3.295","43.8","20.5","11.0","11.0","9.6","2.7","1.4",".",".",".",".",".",".",".",".","."
"Normal Aspects of Hearing","202","001","73","3.397","49.3","12.3","21.9","6.8","8.2",".","1.4",".",".",".",".",".",".",".",".","."
"Neural Base Comm","210","001","123","3.585","51.2","26.8","14.6","2.4","4.9",".",".",".",".",".",".",".",".",".",".","."
"Lang Devlp-Chld & Adolescnt","240","001","76","3.770","77.6","11.8","3.9","2.6","2.6","1.3",".",".",".",".",".",".",".",".",".","."
"Voice, Craniofac & Fluency Dis","318","001","92","3.587","56.5","15.2","19.6","6.5","2.2",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Audiology","320","001","88","3.841","77.3","15.9","5.7",".","1.1",".",".",".",".",".",".",".",".",".",".","."
"PreClin Obs-Chldrn & Adults","371","001","51","3.990","94.1","2.0",".",".",".",".",".",".",".",".",".",".","3.9",".",".","."
"Auditory Rehabilitation","425","001","86","3.808","70.9","20.9","7.0","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"Child Language Disorders","440","001","32","3.645","59.4","18.8","15.6",".",".","3.1",".",".",".",".",".",".","3.1",".",".","."
"Senior Honors Thesis","681","023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","024","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","060","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","024","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","035","8","3.500","37.5","50.0",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","699","040","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","046","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","090","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","36","3.938","86.1","11.1",".",".","2.8",".",".",".",".",".",".",".",".",".",".","."
"Lang&Cogntv-Com Dis in Adults","704","001","30","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Speech Disord/Communictn","705","001","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mgt&Assessmt-Voice Disorder","706","001","31","3.871","77.4","19.4","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lang Probs-Schl Age Chldrn","709","001","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Medical Speech Pathology","713","001","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Schl Mthd,Procedr:Sp/Lang Path","714","001","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone: Com Dis in Adults","752","001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","002","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","003","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","004","7","3.714","85.7",".",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","790","007","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Com Disorders","","Course Total","49","3.930","89.8","8.2",".",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"","799","013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","","Page 203 of 435",""
