"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","",""
"BUS","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTERNATIONAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","","","","","","","",""
"International Business","200
001","172","3.302","28.5","37.8","20.9","5.2","4.1","",".","3.5",".","",".","",".",".","",".","","",".",".",".","."
"Comtemp Iss-Gov,Org&Enterprise","314
001","2","***","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"Intercultural Communctn in Bus","320
001","21","3.762","52.4","47.6",".",".",".","",".",".",".","",".","",".",".","",".","","",".",".",".","."
"Spanish for Business","329
001","1","***","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"","365
001","75","3.947","96.0",".","2.7",".","1.3","",".",".",".","",".","",".",".","",".","","",".",".",".","."
"","003
365","12","3.958","91.7","8.3",".",".",".","",".",".",".","",".","",".",".","",".","","",".",".",".","."
"Contemporary Topics","Course Total","87","3.950","95.4","1.1","2.3",".","1.1","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Global Issues in Management","403
001","12","3.917","91.7",".","8.3",".",".","",".",".",".","",".","",".",".","",".","","",".",".",".","."
"Global Marketing Strategy","420
001","9","3.444","22.2","44.4","33.3",".",".","",".",".","",".",".","",".",".","",".","","",".",".",".","."
"Multinational Bus Finance","445
001","2","***","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"Latin Amer Economc Develpmt","462
001","9","3.444","33.3","33.3","22.2","11.1",".","",".",".",".","",".","",".",".","",".","","",".",".",".","."
"","765
003","19","3.944","89.5",".","5.3",".",".","",".",".",".","",".","",".",".","",".","","",".",".","5.3","."
"","765
030","55","3.991","98.2","1.8",".",".",".","",".",".",".","",".","",".",".","",".","","",".",".",".","."
"","031
765","43","3.872","79.1","16.3","4.7",".",".","",".",".",".","",".","",".",".","",".","","",".",".",".","."
"Contemporary Topics","Course Total","117","3.929","89.7","6.8","2.6",".",".","",".",".","",".","",".",".","",".","",".","",".",".","0.9","."
"INTL BUS
235","Dept. Total","432","3.591","61.8","21.3","11.1","2.3","1.9","",".","1.4","",".","",".",".","",".","",".","",".",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","7","3.143","28.6","28.6","14.3",".","28.6","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","38","3.293","28.9","36.8","26.3","2.6","2.6","",".","2.6","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","110","3.563","60.0","24.5","10.0","1.8","2.7","",".","0.9","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","141","3.505","53.9","24.1","14.2","5.0","0.7","",".","2.1","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","296","3.484","52.4","26.0","14.2","3.4","2.4","",".","1.7","",".","",".",".","",".","",".","",".",".",".","."
"Special","","18","3.361","38.9","38.9","11.1",".","5.6","",".","5.6","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","118","3.919","89.0","6.8","3.4",".",".","",".",".","",".","",".",".","",".","",".","",".",".","0.8","."
"","Dept. Total","432","3.591","61.8","21.3","11.1","2.3","1.9","",".","1.4","",".","",".",".","",".","",".","",".",".","0.2","."
