"BIOLOGICAL SYSTEMS ENGINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","","",""
"1","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"1","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"1","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"1","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cooperative Educ Program","Course Total","","4","***","","","","","","","","","","","","","","","",""
"299","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"349
Quant Technqs-Biological Systm","001","","49","2.643","2.0","12.2","38.8","18.4","24.5","2.0","2.0",".",".",".",".",".",".",".",".","."
"356
Sustainabl Residntl Constructn","001","","29","3.554","48.3","24.1","13.8","6.9","3.4",".",".","3.4",".",".",".",".",".",".",".","."
"365
Measrmt&Instrumntn-Biol Sys","001","","42","3.143","14.3","45.2","16.7","11.9","7.1","4.8",".",".",".",".",".",".",".",".",".","."
"367","001","","79","3.359","11.4","57.0","22.8","6.3","1.3",".",".",".",".",".",".",".",".",".","1.3","."
"367","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Renewable Energy Systems","Course Total","","83","3.384","14.5","55.4","21.7","6.0","1.2",".",".",".",".",".",".",".",".",".","1.2","."
"441
Rheology of Foods&Biomaterials","001","","15","2.433",".","20.0","20.0","13.3","33.3","13.3",".",".",".",".",".",".",".",".",".","."
"461
Food&Bioprocessing Operations","001","","23","3.152","26.1","21.7","30.4","8.7","8.7","4.3",".",".",".",".",".",".",".",".",".","."
"464
Heat and Mass Transfer","001","","13","2.885","30.8","7.7","23.1","15.4","7.7","15.4",".",".",".",".",".",".",".",".",".","."
"472
Sedmnt & Bio-Nutr Engr&Mgmt","001","","20","3.100","10.0","30.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".","."
"476
Engr Princpl Off-Road Vehicles","001","","22","2.727","9.1","4.5","45.5","13.6","22.7","4.5",".",".",".",".",".",".",".",".",".","."
"508
Biol Sys Engr Dsgn Practicum I","001","","44","3.364","47.7","15.9","15.9","11.4","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"571
Small Watershed Engineering","001","","16","3.094","25.0","25.0","25.0","6.3","12.5","6.3",".",".",".",".",".",".",".",".",".","."
"642
Food & Phmaceut Separations","001","","17","3.618","70.6",".","17.6","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","4","***","","","","","","","","","","","","","","","",""
"799
Practicum-Ag Engr Teaching","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"901
Graduate Research Seminar","001","","11","3.636","54.5","18.2","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","32","",".",".",".",".",".",".",".","37.5",".",".",".","62.5",".",".",".","."
"999
Special Problems","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
