"BIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","149","2.765","24.2","7.4","30.2","6.7","17.4","8.1","4.7","0.7",".",".",".",".",".",".",".","0.7"
"","101
002","182","2.669","22.5","6.6","29.1","6.6","18.1","12.1","4.4",".",".",".",".",".","0.5",".",".","."
"Animal Biology","Course Total","331","2.712","23.3","6.9","29.6","6.6","17.8","10.3","4.5","0.3",".",".",".",".","0.3",".",".","0.3"
"","102
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
002","10","3.250","30.0","20.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","7","3.429","42.9","14.3","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","004
102","13","3.423","38.5","15.4","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","7","3.286","28.6","14.3","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
006","8","3.375","12.5","50.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
102","12","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
008","11","3.545","36.4","36.4","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
102","7","2.714","14.3","14.3","14.3","42.9",".","14.3",".",".",".",".",".",".",".",".",".","."
"","010
102","11","3.545","54.5","9.1","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","011
102","9","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
012","13","3.231","15.4","30.8","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","102
013","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
014","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
015","10","3.100",".","40.0","50.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","016
102","9","3.611","55.6","11.1","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","017
102","6","3.333","33.3","16.7","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","102
018","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","157","3.433","35.7","27.4","27.4","8.3","0.6","0.6",".",".",".",".",".",".",".",".",".","."
"General Botany","130
001","32","3.188","31.3","6.3","50.0",".","9.4","3.1",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","151
001","319","2.834","17.6","10.3","38.9","7.2","17.9","6.6","1.6",".",".",".",".",".",".",".",".","."
"","152
001","245","3.237","29.4","13.1","44.5","4.9","6.5","1.6",".",".",".",".",".",".",".",".",".","."
"","152
002","245","3.012","19.6","15.5","39.6","7.3","13.5","2.0","1.6",".",".",".",".",".","0.4",".",".","0.4"
"","152
003","22","3.614","50.0","22.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
152","22","3.591","50.0","22.7","22.7","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","152
005","20","3.575","55.0","15.0","25.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","152
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","007
152","23","3.457","34.8","21.7","43.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
152","18","3.583","55.6","16.7","22.2",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","152
009","20","3.605","45.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","5.0"
"","152
010","23","3.478","43.5","26.1","26.1",".",".","4.3",".",".",".",".",".",".",".",".",".","."
"","152
011","21","3.190","19.0","28.6","38.1",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","660","3.225","29.5","16.4","38.6","4.7","8.2","1.5","0.6",".",".",".",".",".","0.2",".",".","0.3"
"Entering Research Part 1","260
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
001","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
003","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","375
004","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","60","4.000","98.3",".",".",".",".",".",".",".",".",".",".",".","1.7",".",".","."
"","399
002","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".",".",".","8.3","."
"","399
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","Page 184 of 435",""
