"INTERDIS COURSES (L & S)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","",""
"Ways of Knowing:Med&Society","152
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"L&S 2nd Yr Career Development","210
001","142","3.839","85.2","5.6","3.5","0.7","2.8",".","0.7",".",".",".",".",".","1.4",".",".","."
"","250
001","15","3.853","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
250","15","3.946","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
003","16","3.973","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
250","14","3.897","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
005","13","3.719","61.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
006","11","3.907","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
007","17","3.946","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
250","15","3.879","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
009","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Research Experience","Course Total","129","3.903","84.5","10.9","4.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","260
001","19","3.722","73.7","5.3","5.3","5.3","5.3",".",".",".",".",".",".",".","5.3",".",".","."
"","002
260","15","4.000","86.7",".",".",".",".",".",".",".",".",".",".",".","13.3",".",".","."
"","260
003","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrnshp in Liberal Arts & Sci","Course Total","53","3.900","86.8","1.9","1.9","1.9","1.9",".",".",".",".",".",".",".","5.7",".",".","."
"Public Humanities","700
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"INTER-LS
502","Dept. Total","344","3.891","86.0","6.7","3.5","0.6","1.5",".","0.3",".",".",".",".",".","1.5",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","28","3.879","82.1","10.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","140","3.904","87.9","7.1","2.1",".","1.4",".","0.7",".",".",".",".",".","0.7",".",".","."
"Junior","","110","3.899","88.2","5.5","4.5",".","0.9",".",".",".",".",".",".",".","0.9",".",".","."
"Senior","","61","3.815","78.7","6.6","3.3","3.3","3.3",".",".",".",".",".",".",".","4.9",".",".","."
"Undergraduates","","339","3.888","85.8","6.8","3.5","0.6","1.5",".","0.3",".",".",".",".",".","1.5",".",".","."
"Special","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Graduate","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","344","3.891","86.0","6.7","3.5","0.6","1.5",".","0.3",".",".",".",".",".","1.5",".",".","."
