"PHYSIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"762
PHYSIOL","","","","","","","","","","","","","","","","","","","",""
"335
Physiology","001","","407","2.914","28.7","5.7","36.6","2.7","16.0","6.6","3.2","0.2",".",".",".",".","0.2",".",".","."
"435
Fund of Human Physiology","001","","127","3.173","40.2","7.9","29.9","3.1","14.2","3.1","1.6",".",".",".",".",".",".",".",".","."
"524
Neurobi II:Intr-Brain&Behav","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"533
Molecular Physiology","001","","17","3.559","52.9","17.6","17.6","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"611
Systems Neuroscience","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"675","007","","25","3.271","8.0","52.0","24.0","8.0","4.0",".",".",".",".",".",".",".","4.0",".",".","."
"675","008","","25","3.320","40.0",".","52.0",".","8.0",".",".",".",".",".",".",".",".",".",".","."
"675","009","","25","3.354","16.0","44.0","32.0",".","4.0",".",".",".",".",".",".",".","4.0",".",".","."
"Selected Topics-Physiology","Course Total","","75","3.315","21.3","32.0","36.0","2.7","5.3",".",".",".",".",".",".",".","2.7",".",".","."
"699","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","072","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"720
Prin of Human Physiology","001","","178","",".",".",".",".",".",".",".","98.3",".",".",".",".",".",".",".","1.7"
"901
Seminar","001","","24","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","067","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","30","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
