"EDUCATIONAL POLICY STUDIES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","",""
"150","001","","95","3.795","66.3","27.4","5.3","1.1",".",".",".",".",".",".",".",".",".",".",".","."
"150","002","","30","3.833","76.7","13.3","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Education and Public Policy","Course Total","","125","3.804","68.8","24.0","6.4","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"300","001","","36","3.847","83.3","8.3","2.8","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"300","002","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","003","","32","4.000","96.9",".",".",".",".",".",".",".",".",".",".",".","3.1",".",".","."
"School and Society","Course Total","","92","3.940","92.4","3.3","1.1","2.2",".",".",".",".",".",".",".",".","1.1",".",".","."
"399","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","7","3.850","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"412
History-American Education","001","","81","3.706","56.8","29.6","9.9","1.2","1.2",".",".",".",".",".",".",".","1.2",".",".","."
"516
Religion and Public Education","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"545
Philos Concepts-Tch&Learng","001","","7","3.667","57.1","14.3",".","14.3",".",".",".",".",".",".",".",".","14.3",".",".","."
"600","001","","12","3.750","83.3",".",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"600","002","","17","3.706","47.1","47.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"600","003","","13","3.769","69.2","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Problems in Educ Pol","Course Total","","42","3.738","64.3","23.8","7.1","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"699","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","3","***","","","","","","","","","","","","","","","",""
"719
Intro to Qualitative Research","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"755
Methods-Qualitative Resch","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"760
Ed in Develop Societies","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"780","001","","12","3.900","66.7","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"780","002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"780","003","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Educ Policy","Course Total","","30","3.959","86.7","6.7",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"789","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"789","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Qual Rsch Mthds-Educ: Field II","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"911
Seminar in Urban Education","001","","11","4.000","81.8",".",".",".",".",".",".",".",".",".",".",".","18.2",".",".","."
"990","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","8","",".",".",".",".",".",".",".","87.5",".",".",".",".","12.5",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","","","Page 98 of 435"
