"COMMUNICATION ARTS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","",""
"","100
001","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
002","9","3.188",".","55.6","11.1","22.2",".",".",".",".",".",".",".",".","11.1",".",".","."
"","003
100","13","3.538","38.5","46.2","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","100
004","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
006","10","2.950","10.0","30.0","50.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"","100
007","13","3.654","46.2","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
009","10","3.550","30.0","60.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","010
100","13","3.308","7.7","53.8","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
011","13","3.269","15.4","53.8","15.4",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"","100
012","11","3.318","9.1","54.5","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","100
013","13","3.654","53.8","23.1","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","014
100","12","3.250","8.3","41.7","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
015","10","3.500","50.0","20.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","019
100","12","3.625","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","020
100","13","3.385","30.8","38.5","7.7","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"","100
022","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","025
100","12","3.208","25.0","16.7","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","100
026","10","3.444","30.0","30.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".","10.0","."
"","027
100","13","2.808","7.7","23.1","23.1","30.8","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"","100
029","12","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","030
100","12","3.625","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
031","10","3.300","20.0","30.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","032
100","12","2.875","8.3","8.3","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"","033
100","12","3.625","41.7","50.0",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
034","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","035
100","12","2.708","16.7","16.7","16.7","25.0","16.7",".","8.3",".",".",".",".",".",".",".",".","."
"Intro to Speech Composition","Course Total","296","3.408","32.4","35.8","18.9","8.1","3.0","0.3","0.7",".",".",".",".",".","0.3",".","0.3","."
"","105
001","19","3.105","15.8","36.8","26.3","5.3","10.5","5.3",".",".",".",".",".",".",".",".",".","."
"","105
002","20","3.375","15.0","55.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","105
003","19","3.395","15.8","57.9","15.8","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","105
004","19","3.579","36.8","42.1","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
005","20","3.125","10.0","55.0","20.0",".","10.0",".","5.0",".",".",".",".",".",".",".",".","."
"","105
006","20","3.525","35.0","55.0","5.0",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"Public Speaking","Course Total","117","3.350","21.4","50.4","17.9","4.3","3.4","1.7","0.9",".",".",".",".",".",".",".",".","."
"Intro-Digital Media Production","155
001","147","3.668","52.4","34.0","8.2","3.4","1.4",".",".","0.7",".",".",".",".",".",".",".","."
"Survey of Contemporary Media","250
001","167","3.115","14.4","31.7","30.5","11.4","9.6",".","1.2",".",".",".",".",".","0.6",".",".","0.6"
"","260
001","143","3.157","12.6","35.7","32.2","15.4","2.1","1.4","0.7",".",".",".",".",".",".",".",".","."
"","002
260","69","3.110","21.7","34.8","21.7","10.1","2.9","1.4","5.8","1.4",".",".",".",".",".",".",".","."
"Communication & Human Behav","Course Total","212","3.142","15.6","35.4","28.8","13.7","2.4","1.4","2.4","0.5",".",".",".",".",".",".",".","."
"Thry&Pract-Argument&Debate","001
262","116","3.310","26.7","33.6","28.4","6.0","1.7","2.6","0.9",".",".",".",".",".",".",".",".","."
"Thry&Pract-Group Discussion","266
001","50","3.100","16.0","18.0","40.0","22.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Intro-Interpersonal Com","272
001","150","2.866","10.7","27.3","22.7","19.3","14.0","2.0","3.3",".",".",".",".",".",".",".",".","0.7"
"Directed Study","299
045","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics: Rhetoric & Com Science","310
001","20","3.675","50.0","35.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
