"AGRICULTURAL AND APPLIED E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","",""
"990","093","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","095","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","096","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","098","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","37","",".",".",".",".",".",".",".","86.5",".",".",".","13.5",".",".",".","."
"999","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","088","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","098","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Work-Ag & Appl Economics","Course Total","","6","3.900","66.7","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"A A E
108","Dept. Total","","773","3.259","32.7","24.8","17.3","7.8","6.6","2.6","1.0","4.8",".",".",".","0.6","1.7",".",".","."
