"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"S&A PHM","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","3","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Junior","4","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Senior","6","3.917","83.3","16.7",".",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","13","3.846","76.9","15.4","7.7",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Special","1","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Graduate","28","4.000","67.9",".",".",".",".",".","",".","28.6","",".",".","",".","3.6","",".",".",".","."
"Prof Yr 1","151","2.663","2.6","12.6","27.8","33.8","21.2","2.0","",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 2","123","3.228","16.3","28.5","40.7","13.8","0.8",".","",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 3","129","3.926","86.8","11.6","1.6",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","403","3.150","33.7","17.1","23.3","16.9","8.2","0.7","",".",".","",".",".","",".",".","",".",".",".","."
