"CELL AND REGENERATIVE BIOL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"217
CRB","","","","","","","","","","","","","","","","","","","",""
"610
Fund of Mammalian Embryology","005","","8","3.857","75.0",".","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"620
Eukaryotic Molecular Biology","001","","7","3.333","14.3","28.6","42.9",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"640
Fund Stem Cell Regen Biol","002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"650
Molecular & Cell Organogenesis","001","","11","3.682","54.5","36.4",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","21","3.981","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"701
Cell Signals and Human Disease","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"820
Biotechnology Operations","001","","14","3.643","28.6","71.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"824
Molecular Technologies II","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","098","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","099","","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","39","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
