"","991
063","3","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","991
064","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","991
065","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Research Nutrition","Course Total","23","",".",".",".",".",".",".",".","78.3","",".",".","",".","21.7",".",".",".","."
"NUTR SCI
694","Dept. Total","1373","3.138","33.0","16.4","20.2","8.9","12.6","2.6","0.3","2.9","",".","2.2","",".","0.4","0.6",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","136","2.665","8.8","16.2","26.5","11.0","30.9","5.9","0.7",".","",".",".","",".",".",".",".",".","."
"Sophomore","","319","2.982","20.7","16.3","25.4","16.0","16.6","2.8",".",".","",".","2.2","",".",".",".",".",".","."
"Junior","","266","3.140","30.8","15.0","22.9","8.6","13.9","1.9","0.8",".","",".","5.6","",".",".","0.4",".",".","."
"Senior","","522","3.322","46.2","18.0","17.2","6.3","7.5","2.7",".","0.2","",".","1.5","",".",".","0.4",".",".","."
"Undergraduates","","1243","3.112","32.3","16.7","21.6","9.8","13.8","2.9","0.2","0.1","",".","2.4","",".",".","0.2",".",".","."
"Special","","40","3.790","70.0","20.0","5.0",".","2.5",".",".",".","",".",".","",".",".","2.5",".",".","."
"Graduate","","89","3.373","27.0","10.1","7.9",".","1.1",".","1.1","43.8","",".",".","",".","5.6","3.4",".",".","."
"Prof Yr 4","","1","***","","","","","","","","","","",".","",".",".","100.0",".",".","."
"Professionals","","1","***","","","","","","","","","","",".","",".",".","100.0",".",".","."
"","Dept. Total","1373","3.138","33.0","16.4","20.2","8.9","12.6","2.6","0.3","2.9","",".","2.2","",".","0.4","0.6",".",".","."
