"Summary by Level","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"CRB","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","3","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","6","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","29","3.851","79.3","17.2",".","3.4","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","38","3.875","81.6","15.8",".","2.6","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","4","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","84","3.794","35.7","15.5","2.4",".","",".","",".","",".","46.4","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","2","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","","2","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
