"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"Intro-Theatre & Dramatic Lit","120
001","247","3.568","49.4","30.0","13.0","4.0","1.6","1.6",".",".",".",".",".",".","0.4",".",".","."
"Voice Training","140
001","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
001","16","3.750","87.5",".","6.3",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"","002
150","19","3.816","78.9","10.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","150
003","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
150","19","3.789","94.7",".",".",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","150
005","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
006","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
150","17","3.794","64.7","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Acting","Course Total","128","3.875","88.3","7.0","2.3","0.8",".","0.8","0.8",".",".",".",".",".",".",".",".","."
"Intro to Stage Production","160
001","21","3.905","90.5","4.8",".","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","161
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
004","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
005","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Backstage Laboratory I","Course Total","21","3.952","95.2",".","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","162
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","162
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theatre Production Laboratory","Course Total","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Voice Training","240
001","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
001","14","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
002","10","3.550","80.0","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"Fundamentals of Acting","Course Total","24","3.688","75.0","12.5","8.3",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"Fund-Stage Lighting Technology","266
001","9","3.000","22.2","11.1","44.4","11.1",".","11.1",".",".",".",".",".",".",".",".",".","."
"Directed Study","299
038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"History: Stage Costume","327
001","8","3.357","25.0","37.5","12.5",".","12.5",".",".",".",".",".",".",".","12.5",".",".","."
"Acting Realism","350
001","8","3.688","75.0","12.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","357
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
002","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
003","16","3.500","56.3","12.5","25.0",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"Intro Theatre-Cultrl&Soc Aware","Course Total","53","3.830","83.0","7.5","7.5",".",".","1.9",".",".",".",".",".",".",".",".",".","."
"Backstage Laboratory II","361
001","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","362
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Drama in Education","Course Total","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prin&Pract-Stage Costume Dsgn","363
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","366
001","8","3.667","50.0","25.0",".","12.5",".",".",".",".",".",".",".",".","12.5",".",".","."
"","366
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Stage Lighting I","Course Total","13","3.805","69.2","15.4",".","7.7",".",".",".",".",".",".",".",".","7.7",".",".","."
"Fundamentals of Directing","001
368","18","3.389","16.7","55.6","16.7","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Set Design I","372
001","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
