"","042
812","15","3.367","26.7","20.0","53.3",".","","",".","",".","",".","",".",".","",".",".","",".","",".",".",".","."
"","043
812","18","3.412","22.2","33.3","38.9",".","","",".","",".","",".",".","",".","",".",".","",".","",".",".",".","5.6"
"","812
044","13","3.462","30.8","30.8","38.5",".","","",".","",".","",".","",".",".","",".",".","",".","",".",".",".","."
"Neuroscience Core Clerkship","Course Total","61","3.417","27.9","26.2","44.3","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","1.6"
"NEUROL
676","Dept. Total","101","3.561","51.5","15.8","26.7","",".","",".","",".","",".","",".","",".",".","",".","",".","4.0",".","1.0","1.0"
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"676
NEUROL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","5","***","","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Junior","","9","4.000","88.9",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","11.1",".",".","."
"Senior","","24","4.000","83.3",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","12.5",".","4.2","."
"Undergraduates","","38","4.000","86.8",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","10.5",".","2.6","."
"Special","","1","***","","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","1","***","","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 2","","1","***","","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 3","","58","3.430","29.3","25.9","43.1","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","1.7"
"Prof Yr 4","","2","***","","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","","61","3.417","27.9","26.2","44.3","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","1.6"
"","Dept. Total","101","3.561","51.5","15.8","26.7","",".","",".","",".","",".","",".","",".",".","",".","",".","4.0",".","1.0","1.0"
