"AGRONOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"132
AGRONOMY","","","","","","","","","","","","","","","","","","","",""
"203
Introduction to Global Health","001","","12","3.750","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"300
Cropping Systems","001","","39","3.462","59.0","5.1","20.5","5.1","7.7","2.6",".",".",".",".",".",".",".",".",".","."
"326
Plant Nutrition Management","001","","8","3.438","37.5","37.5","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"338
Plant Breeding&Biotechnolgy","001","","32","3.371","46.9","15.6","15.6","12.5","3.1",".","3.1",".",".",".",".",".","3.1",".",".","."
"340
Plant Cell Cult. & Genet. Eng.","001","","9","3.611","55.6","11.1","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"350
World Hunger & Malnutrition","001","","38","3.303","21.1","36.8","26.3","13.2","2.6",".",".",".",".",".",".",".",".",".",".","."
"354
Diag Nutrient/Pest of Crops","001","","15","3.643","46.7","33.3","6.7","6.7",".",".",".","6.7",".",".",".",".",".",".",".","."
"375","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","004","","14","2.750","7.1","28.6","35.7","7.1","7.1","7.1","7.1",".",".",".",".",".",".",".",".","."
"375","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","24","3.154","33.3","20.8","25.0","8.3","4.2","4.2","4.2",".",".",".",".",".",".",".",".","."
"377
Cropping Systems-Tropics","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","2","***","","","","","","","","","","","","","","","",""
"500
Senior Capstone Experience","001","","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"501
Principles-Plant Breeding","001","","13","2.846","15.4","30.8","15.4",".","30.8","7.7",".",".",".",".",".",".",".",".",".","."
"565
Ethics of Modern Biotechnology","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","3","***","","","","","","","","","","","","","","","",""
"799","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Agronomy Teaching","Course Total","","2","***","","","","","","","","","","","","","","","",""
"875","001","","10","3.667","40.0","40.0","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"875","002","","8","3.643","37.5","37.5","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","18","3.660","38.9","38.9","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"920
Seminar","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"957
Seminar-Plant Breeding","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
